ID,PID,CONTEXT,TYPE,FILL_OF,EXMETHOD,DESCRIP,COMPSN,NOTES
4,C4,2035,D,0,Trowel,Deposit overlying gravel surface outside the diagonal building.,"Dark yellow brown, sandy clay, friable, containing 15-35% sub-angular to sub-round gravel of 6-20mm and ceramic tile. Extent: 1.45m x 2.5m Thickness: 12cm",Probably a levelling spread. Fully excavated in August 2001 Plan number 14.13
5,C5,2036,D,0,,Clay make-up on SE side of Room 1 of House 1.,"Mid yellowish brown, friable silty clay. Visible in section and post-holes.",Same layer as (1961) on NW side. relationship between two contexts destroyed by [1095] Victorian trench. Has not been removed.
11,C11,2042,D,0,,Gravel spread - possible levelling medium.,"Greyish yellow, friablem, clay/gritty containing 35-70&#037; gravel, sub-angular to sunb-rounded and 2-6cm in size. 2-10cm thick x 4m x 2m. Excavated by mattock and trowel in clear, sunny and windy conditions. variable edge definition.","Multiple inclusions. Undefined extent in places, possibly cut by three Victorian trenches. Stratigrahpic relationships uneasy, especially with orange clay (2001). Context has been completely removed. Plan numbers 14A and B from 1998."
12,C12,2043,D,0,Trowel,Unknown. Possibly the result of poor excavation,,
20,C20,2051,D,0,,Fill of pit [2052].,No card,No card
21,C21,2052,C,0,Trowel,Pit cut filled by (2051),No card,No card
25,C25,2056,F,0,,Fill of shallow scoop [1781],"Dark greyish brownm friable sandy silt containing 15-35&#037; gravel pebbles, angular and 6-20mm. 60cm diameter. Trowelled in dry and sunny conditions.",Comes down onto the tesselated floor. Context has been completely removed. Plan number 15.31
26,C26,2057,D,0,Trowel,Gravel surface similar to those in Rooms 5 and 6.,"dark to mid grey, friable, sandy clay containing 5-15% flint gravel sub-round and 2-6cm and 5-15% sub-round flint gravel of 6-20mm. Excavated in dry hot and sunny conditions.",Possibly contemporary with late phase of building 1 and floor slump 1498. Context has been completely removed.
31,C31,2062,C,0,Trowel,Cut for (2059),No card,No card
33,C33,2064,D,0,,Dark grey clay spread.,"Dark grey, friable, gritty clayey spread. 2-6cm  x 1.5m x 0.3m. South western edge cut by Victorian trench.  Poor edge definition. Excavated by trowell and mattock in warm sunny conditions.",Possibly a levelling medium. Located to south of diagonal building in 14A and C. Visible only after excavation of context 2042. Context has been completely removed. Plan number 14.15 and 14.16
37,C37,2068,S,3627,Trowel,Lower course of wall 1152,,"Part of earlier phase of diagonal building, superceded by later wall (1151). In 1999 this wall was just visible in plan, overlain by floor make-up of  room 5. In 2003, this wall was equalled to 1152 as a lower course of the wall. As such, it sits within the same construction cut [3627]. Contemporary with all of the walls of the SW House. Wall 2068 is part of the NW exterior, load-bearing wall of the SW House. Completely removed in 2003."
38,C38,2069,F,0,,Fill of post-pipe [2128] in post-hole [2005],"Dark brown, friable, sandy clay containing 35-70&#037; angular to sub-angular stones of 2mm-20cm. 30cm x 35cm deep. Trowelled in sunny and dry conditions. Clear edge definition.",Context has been fully excavated. Plan number 16.57
42,C42,2073,D,0,,Gravel surface (unexcavated in 1999),"Mid brown, friable, silt containing 70&#037; pebbles of 6mm-6cm and 20&#037; CBM fragments. Not excavated so extent unknown.",Is overlied by most of the spreads taken off this area. Relationship with gravel surface on the other side of [1084] needs to be defined in 2000. Context has not been removed. Plan number 14.20
43,C43,2074,D,0,Trowel,Clay surface exposed under several other spreads in this area.,"Orange/ brown, friable, sandy clay containing 35-70% pea gravel of 2-6mm and 15-35% gravel pebbles of 6-20mm. Extent: Patchy - in Area 14 spreading over c. 4-5m but not continuous Thickness: c. 3cm",Relation ship with (2073) unknown until further excavation in 2000. Plan number 14.19 and 14.20. Context has not been removed.
45,C45,2076,D,0,Trowel,Gravel spread in area 14.,Contains 80-90% sub-angular to sub-rounded gravel pebbles of 6mm-6cm.,"Gravel spread of part of a possible gravel surface. Not completely exposed so extent unknown. It appears to overlie (2074) but is itself overlain by deposits further to the south. Partially removed in Zones 14A, 14C, 14D - remains unexcavated in 14B, east of Victorian trench [1084] Plan number 14.20"
50,C50,2081,C,0,Trowel,Linear cut containing (2043),Feature has not been fully examined and therefore not described.,Has been partially excavated. Plan numbers 14.14 and 14.18. Needs more work in 2000. May be the result of poor excavation.
