mainid	name	city	country	publication	functions	adafter	adbefore	ahafter	ahbefore
EA.CA.1	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.14b	shrine	691	692	72	72
EA.CA.2	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.11c	shrine	691	692	72	72
EA.CA.3	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.20b	shrine	691	692	72	72
EA.CA.4	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.21b	shrine	691	692	72	72
EA.CA.5	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.21c	shrine	691	692	72	72
EA.CA.6	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.15c	shrine	691	692	72	72
EA.CA.7	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.15b	shrine	691	692	72	72
EA.CA.8	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.17b	shrine	691	692	72	72
EA.CA.9	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.17c	shrine	691	692	72	72
EA.CA.10	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.18b	shrine	691	692	72	72
EA.CA.11	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.18c	shrine	691	692	72	72
EA.CA.12	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.20c	shrine	691	692	72	72
EA.CA.13	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.14c	shrine	691	692	72	72
EA.CA.14	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.26e	shrine	691	692	72	72
EA.CA.15	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.23f	shrine	691	692	72	72
EA.CA.16	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.23e	shrine	691	692	72	72
EA.CA.17	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.23d	shrine	691	692	72	72
EA.CA.18	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.23c	shrine	691	692	72	72
EA.CA.19	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.23b	shrine	691	692	72	72
EA.CA.20	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.23a	shrine	691	692	72	72
EA.CA.21	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.24d	shrine	691	692	72	72
EA.CA.22	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.24c	shrine	691	692	72	72
EA.CA.23	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.24b	shrine	691	692	72	72
EA.CA.24	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.24e	shrine	691	692	72	72
EA.CA.25	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.24f	shrine	691	692	72	72
EA.CA.26	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.25a	shrine	691	692	72	72
EA.CA.27	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.25b	shrine	691	692	72	72
EA.CA.28	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.24a	shrine	691	692	72	72
EA.CA.29	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.26f	shrine	691	692	72	72
EA.CA.30	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.25d	shrine	691	692	72	72
EA.CA.31	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.25c	shrine	691	692	72	72
EA.CA.32	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.26d	shrine	691	692	72	72
EA.CA.33	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.26c	shrine	691	692	72	72
EA.CA.34	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.26b	shrine	691	692	72	72
EA.CA.35	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.26a	shrine	691	692	72	72
EA.CA.36	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.25e	shrine	691	692	72	72
EA.CA.37	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.25f	shrine	691	692	72	72
EA.CA.38	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.27b	shrine	691	692	72	72
EA.CA.39	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.27a	shrine	691	692	72	72
EA.CA.40	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.27c	shrine	691	692	72	72
EA.CA.41	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.29a	shrine	691	692	72	72
EA.CA.42	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.29b	shrine	691	692	72	72
EA.CA.43	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.29c	shrine	691	692	72	72
EA.CA.44	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.29b	shrine	691	692	72	72
EA.CA.45	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.29d	shrine	691	692	72	72
EA.CA.46	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.29e	shrine	691	692	72	72
EA.CA.47	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.28a	shrine	691	692	72	72
EA.CA.49	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.28d	shrine	691	692	72	72
EA.CA.50	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.28c	shrine	691	692	72	72
EA.CA.51	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.27d	shrine	691	692	72	72
EA.CA.52	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.31a	shrine	691	692	72	72
EA.CA.53	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.54	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.33b	shrine	691	692	72	72
EA.CA.55	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.37a	shrine	691	692	72	72
EA.CA.56	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.37b	shrine	691	692	72	72
EA.CA.57	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.7b	shrine	691	692	72	72
EA.CA.58	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.7a	shrine	691	692	72	72
EA.CA.59	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.8a	shrine	691	692	72	72
EA.CA.60	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.5a	shrine	691	692	72	72
EA.CA.61	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.2a	shrine	691	692	72	72
EA.CA.62	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.63	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.64	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.fig.192	shrine	691	692	72	72
EA.CA.65	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.66	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.67	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.68	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.69	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.70	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.71	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.72	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.73	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.74	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.75	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.76	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.77	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.fig.191	shrine	691	692	72	72
EA.CA.78	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.pl.73b	bath-house	725	750	107	133
EA.CA.79	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.pl.73a	bath-house	725	750	107	133
EA.CA.80	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.pl.76a	bath-house	725	750	107	133
EA.CA.81	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.pl.74a	bath-house	725	750	107	133
EA.CA.82	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.pl.74a	bath-house	725	750	107	133
EA.CA.84	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.pl.72c	bath-house	725	750	107	133
EA.CA.85	Qusair `Amra	Qusair `Amra	Jordan	EMA.1969.1.ii.pl.72a	bath-house	725	750	107	133
EA.CA.86	Qusair `Amra	Qusair `Amra	Jordan		bath-house	725	750	107	133
EA.CA.87	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.88	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.89	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.90	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.91	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.92	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.93	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.94	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.95	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.96	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.97	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.98	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.99	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.100	Dome of the Rock	Jerusalem	Palestine		shrine	691	692	72	72
EA.CA.101	Mshatta	Mshatta	Jordan		palace	725	750	107	133
EA.CA.102	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.103	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.104	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.105	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.106	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.107	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.108	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.109	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.110	Great Mosque of Damascus	Damascus	Syria		mosque	706	715	87	96
EA.CA.111	Mosque of al-Aqsa	Jerusalem	Palestine	EMA.1969.1.i.fig.370	mosque	715	1218	97	614
EA.CA.112	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.8b	shrine	691	692	72	72
EA.CA.113	Dome of the Rock	Jerusalem	Palestine	EMA.1969.1.i.pl.8b	shrine	691	692	72	72
