context_id,context_note
1015,"Knapped flint wall with facing stones and a flint rubble core. Wall robbed out at NW end but any evidence for robber trench destroyed by Victorians. Possible repair to SW corner of wall, where clay make-up for building has been cut through and possibly deeper for foundations inserted. Possible NE extent of 1015 is 4076, discovered in the 2002 season. 4076 is a fragment containing a cornerstone and a few other flints on the same alignment as 1015 and 3201 but separated from 1015 by robber trench [1535] and Victorian trenches [1124] and [1017]. The section was cut back and re-drawn in 2003.  Plan no: Included within the House 1 wall plans collection Section no: 328, 467 <I>[ 01/01/2004]</I>"
1015,Single course of wall comprised of flints measuring 0.11m x 0.24m (dressed facing stones) and 0.05m x 0.18m (rough hewn core flints).  Bonded by a degraded mortar that has turned into a sandy loam mixed with the rubble Extent: 9.28m x 0.54m   Thickness: 0.2m Clear edge definition
1015,"The flint foundation to the north-west wall of Rooms 2 and 3, House 1."
1016,"90% flint nodules (between 0.1-0.17m in size), 1-2% CBM<BR>Extent: 4.8m x 5.6m {}"
1016,"Flint surface to Room 3, possibly mortared originally.<BR>The flints are large and irregular, presenting an uneven surface to this room. It had been cut through by at least 3 later pits. There was a suggestion of mortar adhering to the surface of some of these flints; perhaps the original surface was roughly mortared. Butts up against the flint walls that enclose it - 1018, 1015, 1533 and 1168. It is cut by wall repair [1615] {}"
1016,"Uneven flint surface to Room 3, house 1, cobbled floor"
1018,"Flint wall, cut in SE corner by pit F [1320] and butts up against (1015). 4595 is possible repair at the northern end of the wall. Top course of the internal wall of the NE house. 2 courses below. Both sides, flints dressed to make a straight edge. Strat below (1016), (1729), [1095]. Strat above (1542). Butts 4595. Completely removed in 2003. Plan no: Amongst the House 1 wall plans Section no: 423 Accuracy rating - 3"
1018,Single course of knapped flint with a flint rubble core (flints measuring 0.14m-0.24m; rubble measuring 0.1m-0.18m) Dimensions: 4.3m x 0.5m  Clear edge definition by wavy in places
1018,"Single coursed flint wall foundation dividing Rooms 2 and 3, House 1. <I>[ 01/01/2004]</I>"
1021,"Also contains 1378, 1395,1396 and 1688, 2029. Excavated by Victorians but classed by them as  a single pit with one other. Relationship with 1386 unknown.  Clay lining of pit extends under floor 1016 which suggests that the two were contemporaneous."
