context_id,context_type
1015,S
1016,D
1018,S
1021,C
1024,C
1044,C
1047,F
1067,D
1068,D
1125,D
1126,D
1129,D
1138,D
1140,S
1141,S
1142,D
1150,S
1151,S
1152,S
1154,D
1156,D
1157,S
1158,S
1159,D
1160,S
1161,S
1162,S
1163,S
1164,S
1165,S
1167,D
1168,S
1173,S
1174,S
1183,D
1184,S
1187,S
1188,S
1223,D
1237,D
1240,D
1241,C
1242,C
1243,F
1254,D
1257,C
1258,D
1264,D
1277,D
1288,F
1296,F
1302,D
1351,F
1358,D
1362,F
1393,D
1395,F
1396,F
1397,D
1410,D
1433,S
1447,D
1448,D
1457,D
1461,D
1465,F
1466,D
1472,D
1474,D
1476,F
1477,D
1482,C
1486,D
1488,F
1498,D
1517,D
1518,F
1524,C
1525,D
1526,C
1527,D
1528,D
1529,D
1530,D
1531,F
1533,S
1535,C
1540,C
1541,F
1542,D
1543,S
1544,D
1545,F
1546,F
1552,S
1553,S
1561,C
1563,D
1564,D
1565,S
1580,F
1582,D
1583,S
1584,C
1589,C
1605,D
1606,D
1607,D
1608,C
1609,D
1615,C
1616,F
1617,D
1622,D
1626,C
1629,C
1636,C
1640,D
1654,D
1656,D
1664,S
1671,D
1679,F
1681,F
1687,D
1688,D
1699,C
1700,C
1703,C
1706,S
1712,D
1714,D
1715,D
1716,D
1717,D
1718,D
1719,D
1720,D
1721,F
1723,D
1732,D
1735,D
1742,S
1743,D
1744,S
1745,D
1746,S
1753,D
1756,D
1757,D
1761,D
1762,C
1763,F
1764,D
1767,F
1768,D
1771,D
1772,D
1775,D
1777,C
1781,C
1784,C
1788,D
1790,D
1792,F
1796,D
1797,D
1798,C
1800,D
1802,C
1808,D
1809,D
1810,D
1811,C
1812,D
1813,C
1818,D
1820,C
1832,D
1844,D
1845,D
1846,D
1847,D
1848,D
1849,D
1850,D
1851,D
1857,C
1863,F
1864,C
1869,D
1874,F
1875,C
1878,F
1879,C
1880,S
1883,F
1884,F
1890,C
1891,C
1892,D
1893,F
1894,D
1900,D
1905,F
1907,F
1911,C
1912,D
1913,C
1914,D
1915,D
1917,C
1920,D
1922,D
1923,D
1926,D
1930,C
1934,D
1946,F
1947,C
1948,D
1949,D
1952,D
1954,D
1960,D
1961,D
1967,C
1970,D
1973,C
1975,F
1976,F
1986,D
1988,D
1989,D
1991,C
1995,S
2001,D
2004,S
2005,D
2006,F
2009,D
2014,F
2018,D
2022,D
2023,D
2025,D
2027,C
2029,F
2035,D
2036,D
2042,D
2043,D
2051,D
2052,C
2056,F
2057,D
2062,C
2064,D
2068,S
2069,F
2073,D
2074,D
2076,D
2081,C
2082,C
2083,S
2094,F
2095,D
2096,C
2124,D
2125,D
2127,C
2128,C
2138,F
2140,C
2143,F
2144,D
2145,D
2146,C
2147,D
2148,C
2165,F
2174,D
2179,C
2183,D
2184,C
2188,F
2189,F
2190,D
2192,D
2215,F
2218,D
2232,D
2233,D
2245,D
2252,F
2253,C
2266,F
2268,C
2284,D
2287,D
2298,D
2299,S
2340,D
2453,F
2454,C
2455,D
2456,D
2457,D
2460,F
2462,F
2463,D
2470,D
2471,D
2472,D
2473,F
2474,C
2480,D
2496,D
2652,D
2657,F
2664,F
2666,C
2667,D
2668,D
2669,F
2673,F
2675,D
2681,C
2682,C
2683,F
2687,F
2690,D
2693,C
2907,F
2910,C
2922,D
2923,D
2925,S
3028,D
3033,S
3037,D
3042,D
3048,D
3049,D
3067,D
3071,D
3082,D
3088,D
3089,D
3094,D
3095,D
3096,D
3098,D
3099,D
3178,D
3201,S
3202,D
3203,D
3204,D
3206,F
3210,D
3211,F
3212,C
3213,D
3214,D
3216,C
3218,C
3219,D
3221,D
3222,C
3230,D
