context_id,strat_lower_id
1017,1015
1016,1015
1576,1015
1615,1015
1000,1016
1020,1016
1019,1016
1386,1016
1719,1721
1615,1016
1203,1016
1095,1018
1016,1018
1729,1018
1396,1021
1024,1022
1008,1024
3307,3307
3606,3313
1000,1047
1640,3310
1000,1125
1091,1125
1090,1125
1320,1125
1729,1125
1238,1126
1125,1126
1000,1129
1095,1129
1784,1129
1864,1129
1930,1129
1936,1129
3656,3604
2148,1129
2184,1129
4008,2455
1922,1141
1246,1150
1558,1857
1161,1161
1914,1161
1091,1164
1680,1164
1069,1165
1438,1165
1576,1168
1100,1168
1101,1168
1615,1168
1295,1173
1014,1173
1384,1187
1700,1187
1241,1188
1393,1188
1809,1188
1243,1241
1300,1254
1404,1254
1559,1254
1739,1254
1254,1640
2234,1254
1293,1254
1000,1296
1017,1302
1137,1302
1288,1343
1382,1021
1296,1351
1392,1362
1844,4362
1264,3315
3317,1376
1351,1392
1378,1395
1016,1395
1688,1396
1410,1397
3300,3386
1254,1405
1000,1410
1042,1410
1410,1444
1000,1447
1447,1448
1410,1457
1362,1465
1112,1472
1373,3316
1116,1472
3386,3635
1476,1486
1124,1488
3635,3313
3300,3653
1461,1517
1461,1518
1517,1524
1461,1525
1518,1526
1528,1527
1529,1527
1530,1527
1762,1527
1802,1527
1811,1527
1813,1527
2027,1527
3374,3375
2022,3284
1985,1527
1472,1277
1875,1527
2044,1527
1090,1530
1095,1531
4006,4007
1729,1533
1438,1533
1081,1533
1913,1533
1535,1900
1541,1540
1015,1542
1533,1542
1018,1542
1016,1542
1126,1542
1527,1542
1533,1543
1123,1544
1124,1544
1457,1544
1466,1544
1629,1544
1295,1552
1034,1553
1438,1553
1558,1160
1546,1561
1543,1563
1015,1564
1564,1565
1461,1580
1461,1582
1577,1582
1019,1583
1580,1584
3300,3307
3307,3313
3300,3311
3311,3312
3204,3218
3300,3304
3306,3313
3304,3306
3211,3216
3206,4524
1303,3301
3301,1326
3300,3303
3303,3322
3300,3305
3305,3331
3308,3320
3300,3309
3310,3302
3312,3313
3315,3346
3315,3347
3300,3316
3316,3325
3300,3318
3633,3994
3320,3321
3321,1818
3322,3332
3331,3313
3332,3313
3325,3343
3346,3652
3347,3349
2846,1472
1577,1589
1582,1589
1606,1605
1617,1605
1615,1605
1165,3033
4588,3033
1609,1607
1608,1617
1616,1608
1607,1615
2095,2673
1016,1616
1615,1616
1016,1608
1016,1617
1654,1622
1498,1626
1622,1629
1633,1735
1766,1636
1410,1654
1461,1656
1228,1671
1680,1679
1438,1679
1164,1681
1527,1681
1618,1681
1680,1681
3999,4006
1395,1688
1679,1699
1545,1700
1552,1706
1707,1706
1666,1712
1295,1714
1714,1715
1003,1715
1722,1716
1717,1732
3683,1717
1732,6509
6509,1718
2527,1718
1719,1720
1718,1719
1715,1722
1720,1723
1721,1724
1173,3993
1715,1733
1735,1734
1254,3564
1639,1735
1695,1735
1725,1735
1705,1735
1730,1735
1806,1735
1896,1735
1895,1735
1872,1735
1668,1735
1737,1254
1472,1739
1014,1744
1474,1757
1636,1757
1254,1758
1761,1895
1767,1762
1000,1763
1007,1764
1763,1767
1700,1768
1869,1768
1488,1771
1771,1772
1000,1775
1091,1775
1091,1777
1775,1777
2056,1781
1095,1784
1790,1792
1792,1784
1626,1788
3385,3646
1090,1790
1095,1792
1000,1790
1788,1796
1798,1797
1753,1798
1448,1800
3646,3608
1527,1527
1800,1802
1761,1807
1761,1806
1764,1808
1336,1809
1000,1810
1810,1811
1000,1812
1812,1813
1465,1816
1757,1818
1095,1820
1531,1820
1808,1832
1761,1791
1254,3562
1011,1844
1275,1844
1844,3376
1011,1845
1011,1846
1845,4374
1846,1847
1847,1848
1011,1848
1847,1849
1011,1849
1848,1850
1849,4362
1850,1851
1832,1857
1000,1863
1095,1863
1095,1864
1863,1864
1762,1872
1000,1874
1095,1874
1095,1875
1874,1875
1086,1878
1878,1879
1095,1879
1915,1880
1000,1883
1917,1884
1889,1890
1928,1890
1884,1891
1126,1893
3396,4469
1500,1761
1069,1900
1535,1530
1831,1900
1890,1900
2127,1900
1020,1905
1386,1905
1021,1905
1016,1905
1019,1905
1915,1907
1680,1911
1907,1911
1091,1912
1892,1912
1894,1912
1913,1912
1893,1913
1777,1915
1941,1915
1531,1917
1095,1917
1170,1922
1883,1923
1038,1926
1091,1926
1915,1926
1883,1930
1923,1930
1000,1934
1038,1934
1091,1934
1914,1946
1946,1947
1948,1949
1914,1948
1671,1952
1593,1952
1593,1954
1671,1954
1960,1960
1593,1960
1666,1960
1129,1961
1095,1961
2192,1961
2218,1961
1069,1961
1095,1967
1975,1967
1168,1970
1095,1973
1976,1973
1000,1975
1095,1975
1000,1976
1095,1976
1954,1986
1129,1988
1756,1989
1182,1989
1589,1990
1000,1991
1091,1991
1038,1991
1934,1991
1952,1997
2042,2001
1084,2001
1788,2004
1386,2006
1016,2006
1463,2009
1000,2014
1989,2016
1038,2018
1091,2018
1991,2018
1986,2019
1796,2022
1809,2023
2009,2025
1571,2025
2014,2027
6461,1720
1021,2029
2001,2035
2019,2035
2028,2035
1014,2035
1084,2035
1095,2036
3283,1527
1891,2036
2140,2036
2145,2036
1593,2042
2051,2052
2082,2056
2042,2063
2042,2064
1757,2068
2005,2069
1997,2073
2035,2073
1014,2073
3219,2076
2063,2074
3300,2064
2076,2074
2064,2076
5030,5027
2043,2081
2094,2082
2188,2082
2188,2094
1014,2095
2287,2095
2096,2190
1152,2124
3382,1158
2128,2127
2069,2128
1000,2138
2138,2140
1000,2143
1095,2143
1926,2145
2143,2146
1095,2146
1000,2147
1095,2147
2147,2148
1095,2148
2018,2165
2165,2179
1000,2183
2183,2184
1914,2188
1914,2189
2189,2096
1781,2190
1129,2192
2215,2218
1000,2232
1014,2232
1091,2232
1014,2233
1000,2233
1019,2233
1320,2245
2253,2245
2260,2245
2268,2245
2233,2249
2250,2252
2252,2253
2233,2266
1014,2266
2266,2268
1014,2268
2232,2284
2190,2287
1014,2287
1905,2299
1375,2340
2949,2340
2335,2340
1118,2340
2543,2340
2725,2340
1702,2340
1685,2340
3653,3313
3313,3604
3313,3382
3313,1254
3309,3604
3309,3385
3309,3382
3300,3367
3360,3604
3367,3604
3367,3385
3360,3385
3360,3382
3605,3608
3604,3605
3644,3643
3608,3644
3382,2022
3300,1743
3300,1161
3390,3379
2023,1157
1161,3378
1768,3384
2025,3384
3384,2023
3675,3987
3355,3623
3349,3623
3623,3655
3655,3671
3300,3383
3250,3698
2035,3230
3622,2455
3374,2455
3374,3649
3650,3375
3649,3650
3669,3346
3397,3389
3389,3345
3345,3375
3300,3324
3324,3607
3607,3602
4581,3700
3300,3388
3388,3615
2922,5027
3348,3375
3610,3346
3609,3610
3652,3348
1024,3399
3600,3365
3365,3392
1024,3616
3392,1818
3392,3641
3392,4391
3366,1845
1844,3366
3381,1845
3376,3381
1171,3308
1024,3308
1171,3603
1024,3603
2925,3396
3631,1150
1157,1150
3648,3377
3648,1150
3699,3377
3678,1158
3639,3637
3625,3377
3625,1150
1187,3625
3636,3641
3636,3601
3640,3636
3377,3640
1150,3638
1818,1150
3638,3641
3601,1150
1818,3612
3612,3614
3601,3619
3631,6085
3619,5502
2499,3206
2499,3204
1141,3289
1141,1141
2245,3286
3293,3294
3293,3705
3293,3256
3293,3287
1296,1295
3294,3708
3287,3298
3703,3261
3702,3703
3256,3702
1295,3236
2083,5492
3704,3972
3706,3704
3254,3704
3232,3297
3232,3247
1905,3247
3255,3297
3247,3297
1533,3297
5432,5462
3254,4581
3232,3700
1912,3299
1912,3269
1857,1161
3269,3299
3275,3278
3283,2036
1151,3629
3260,3262
2036,3260
2036,3273
3267,3263
3270,5474
3277,3279
3253,1544
3253,3259
3216,3259
3259,3701
3701,3709
3701,3707
3281,3295
3500,3533
3077,3533
3053,3521
3521,3532
3751,3532
2005,2127
1044,3028
3980,3042
3528,3049
3509,3071
3177,3178
3231,1544
3245,3232
3248,3245
2340,3326
3326,3327
3327,3328
3328,3334
3334,3329
3647,3634
3330,3336
3342,3313
3300,3350
3350,3351
3353,3355
3315,3353
3356,3365
3300,3360
3363,3365
3364,3365
1165,3370
3370,3326
4216,4202
4216,4205
3201,4095
2284,3213
1527,3203
3203,2036
3213,3202
1527,3214
3214,3222
2657,3221
3222,2036
1015,3242
3242,3246
3372,3374
3020,3028
3028,3042
5027,2664
3243,3244
3236,3238
3238,3239
3239,3240
3240,3241
3241,3243
1583,3248
3544,3049
6557,3646
3033,6073
3082,3067
3067,3037
3067,3088
3088,3089
3037,3089
3532,3804
1015,3509
3095,3096
3096,3098
3098,3099
3510,3095
3095,3511
3511,3512
3512,3096
2234,3373
3231,3259
3252,3253
3329,3330
3330,3335
3367,3382
3300,3369
3369,3313
3300,3368
3368,3313
1922,4010
1905,3232
1168,3248
3248,3254
1533,3255
1961,3277
1911,3268
3281,3290
3278,3283
1742,1745
3286,3291
3290,3295
3291,3296
1159,1743
3306,3307
3343,3344
3344,1277
2025,3351
3307,3624
3357,3365
3365,1844
1500,3383
3383,2001
1743,3390
4597,4581
3391,3393
3300,3395
3385,3608
3393,3609
3394,3622
3395,3397
3705,4010
3259,3276
1961,3264
3264,3265
4085,4567
3266,3284
1961,3267
3268,3275
3270,4634
3271,3255
3255,3254
2036,3272
2232,3203
1505,1472
3352,3365
2450,2453
2463,2454
2547,2454
2450,2455
2454,2456
2453,2460
2460,2462
2462,2463
2474,2464
2287,2470
1626,2471
1626,2472
2461,2473
2473,2474
2689,2480
4378,1850
2287,2496
1530,2530
1772,1535
2287,2657
2450,2664
2470,2666
2693,2668
2496,2668
2666,2668
2682,2668
2486,2669
2657,2673
2681,2675
2673,2681
2675,2682
2657,2683
2683,2687
2910,2690
2687,2693
1014,2693
2340,2849
2915,3219
3300,3654
1024,2906
2688,2907
2907,2910
1024,2917
2499,2925
1254,3565
1274,1296
