sample_id,within_investigation_id
20,SILCHESTER
36,SILCHESTER
49,SILCHESTER
51,SILCHESTER
56,SILCHESTER
57,SILCHESTER
84,SILCHESTER
779,SILCHESTER
783,SILCHESTER
790,SILCHESTER
808,SILCHESTER
820,SILCHESTER
821,SILCHESTER
823,SILCHESTER
825,SILCHESTER
826,SILCHESTER
829,SILCHESTER
831,SILCHESTER
830,SILCHESTER
836,SILCHESTER
838,SILCHESTER
840,SILCHESTER
843,SILCHESTER
844,SILCHESTER
846,SILCHESTER
848,SILCHESTER
850,SILCHESTER
655,SILCHESTER
656,SILCHESTER
657,SILCHESTER
658,SILCHESTER
659,SILCHESTER
666,SILCHESTER
667,SILCHESTER
669,SILCHESTER
674,SILCHESTER
675,SILCHESTER
676,SILCHESTER
677,SILCHESTER
685,SILCHESTER
703,SILCHESTER
704,SILCHESTER
712,SILCHESTER
713,SILCHESTER
714,SILCHESTER
717,SILCHESTER
720,SILCHESTER
724,SILCHESTER
735,SILCHESTER
740,SILCHESTER
745,SILCHESTER
752,SILCHESTER
756,SILCHESTER
766,SILCHESTER
767,SILCHESTER
768,SILCHESTER
769,SILCHESTER
770,SILCHESTER
771,SILCHESTER
772,SILCHESTER
773,SILCHESTER
774,SILCHESTER
570,SILCHESTER
571,SILCHESTER
572,SILCHESTER
575,SILCHESTER
579,SILCHESTER
582,SILCHESTER
588,SILCHESTER
622,SILCHESTER
623,SILCHESTER
627,SILCHESTER
631,SILCHESTER
640,SILCHESTER
641,SILCHESTER
642,SILCHESTER
646,SILCHESTER
874,SILCHESTER
875,SILCHESTER
876,SILCHESTER
877,SILCHESTER
878,SILCHESTER
879,SILCHESTER
880,SILCHESTER
881,SILCHESTER
882,SILCHESTER
883,SILCHESTER
884,SILCHESTER
885,SILCHESTER
886,SILCHESTER
887,SILCHESTER
888,SILCHESTER
889,SILCHESTER
890,SILCHESTER
891,SILCHESTER
892,SILCHESTER
894,SILCHESTER
895,SILCHESTER
897,SILCHESTER
901,SILCHESTER
905,SILCHESTER
906,SILCHESTER
907,SILCHESTER
908,SILCHESTER
909,SILCHESTER
910,SILCHESTER
911,SILCHESTER
916,SILCHESTER
917,SILCHESTER
918,SILCHESTER
919,SILCHESTER
920,SILCHESTER
921,SILCHESTER
922,SILCHESTER
923,SILCHESTER
927,SILCHESTER
928,SILCHESTER
929,SILCHESTER
933,SILCHESTER
934,SILCHESTER
935,SILCHESTER
936,SILCHESTER
937,SILCHESTER
939,SILCHESTER
940,SILCHESTER
941,SILCHESTER
946,SILCHESTER
947,SILCHESTER
948,SILCHESTER
949,SILCHESTER
952,SILCHESTER
953,SILCHESTER
959,SILCHESTER
960,SILCHESTER
961,SILCHESTER
962,SILCHESTER
963,SILCHESTER
964,SILCHESTER
965,SILCHESTER
967,SILCHESTER
969,SILCHESTER
970,SILCHESTER
992,SILCHESTER
993,SILCHESTER
994,SILCHESTER
995,SILCHESTER
998,SILCHESTER
1025,SILCHESTER
1026,SILCHESTER
1027,SILCHESTER
1035,SILCHESTER
1036,SILCHESTER
1037,SILCHESTER
1038,SILCHESTER
1039,SILCHESTER
1040,SILCHESTER
1041,SILCHESTER
1042,SILCHESTER
1053,SILCHESTER
1057,SILCHESTER
1058,SILCHESTER
1094,SILCHESTER
1098,SILCHESTER
1100,SILCHESTER
1109,SILCHESTER
1110,SILCHESTER
1114,SILCHESTER
1115,SILCHESTER
1116,SILCHESTER
1117,SILCHESTER
1118,SILCHESTER
1119,SILCHESTER
1127,SILCHESTER
1128,SILCHESTER
1134,SILCHESTER
1135,SILCHESTER
1140,SILCHESTER
1141,SILCHESTER
1144,SILCHESTER
1146,SILCHESTER
1152,SILCHESTER
1167,SILCHESTER
1174,SILCHESTER
1177,SILCHESTER
966,SILCHESTER
1178,SILCHESTER
1217,SILCHESTER
1224,SILCHESTER
1225,SILCHESTER
1226,SILCHESTER
1231,SILCHESTER
1232,SILCHESTER
1233,SILCHESTER
1234,SILCHESTER
1235,SILCHESTER
1236,SILCHESTER
1237,SILCHESTER
1238,SILCHESTER
1239,SILCHESTER
1240,SILCHESTER
1241,SILCHESTER
1242,SILCHESTER
1252,SILCHESTER
1259,SILCHESTER
1260,SILCHESTER
1269,SILCHESTER
1270,SILCHESTER
1271,SILCHESTER
1272,SILCHESTER
1278,SILCHESTER
1280,SILCHESTER
1281,SILCHESTER
1282,SILCHESTER
1283,SILCHESTER
1286,SILCHESTER
1287,SILCHESTER
1289,SILCHESTER
1290,SILCHESTER
1291,SILCHESTER
1298,SILCHESTER
1299,SILCHESTER
1300,SILCHESTER
1301,SILCHESTER
1307,SILCHESTER
1324,SILCHESTER
1325,SILCHESTER
1326,SILCHESTER
1327,SILCHESTER
1331,SILCHESTER
1332,SILCHESTER
1333,SILCHESTER
1334,SILCHESTER
1335,SILCHESTER
1337,SILCHESTER
1336,SILCHESTER
