"ID","CON1","CON2"
1,1017,1015
2,1016,1015
3,1576,1015
4,1615,1015
5,1000,1016
6,1020,1016
7,1019,1016
8,1386,1016
9,1719,1721
10,1615,1016
11,1203,1016
12,1095,1018
13,1016,1018
14,1729,1018
15,1396,1021
16,1024,1022
17,1008,1024
18,3307,3307
19,3606,3313
20,1000,1047
21,1640,3310
22,1000,1125
23,1091,1125
24,1090,1125
25,1320,1125
26,1729,1125
27,1238,1126
28,1125,1126
29,1000,1129
30,1095,1129
31,1784,1129
32,1864,1129
33,1930,1129
34,1936,1129
35,3656,3604
36,2148,1129
37,2184,1129
38,4008,2455
39,1922,1141
40,1246,1150
41,1558,1857
42,1161,1161
43,1914,1161
44,1091,1164
45,1680,1164
46,1069,1165
47,1438,1165
48,1576,1168
49,1100,1168
50,1101,1168
51,1615,1168
52,1295,1173
53,1014,1173
54,1384,1187
55,1700,1187
56,1241,1188
57,1393,1188
58,1809,1188
59,1243,1241
60,1300,1254
61,1404,1254
62,1559,1254
63,1739,1254
64,1254,1640
65,2234,1254
66,1293,1254
67,1000,1296
68,1017,1302
69,1137,1302
70,1288,1343
71,1382,1021
72,1296,1351
73,1392,1362
74,1844,4362
75,1264,3315
76,3317,1376
77,1351,1392
78,1378,1395
79,1016,1395
80,1688,1396
81,1410,1397
82,3300,3386
83,1254,1405
84,1000,1410
85,1042,1410
86,1410,1444
87,1000,1447
88,1447,1448
89,1410,1457
90,1362,1465
91,1112,1472
92,1373,3316
93,1116,1472
94,3386,3635
95,1476,1486
96,1124,1488
97,3635,3313
98,3300,3653
99,1461,1517
100,1461,1518
101,1517,1524
102,1461,1525
103,1518,1526
104,1528,1527
105,1529,1527
106,1530,1527
107,1762,1527
108,1802,1527
109,1811,1527
110,1813,1527
111,2027,1527
112,3374,3375
113,2022,3284
114,1985,1527
115,1472,1277
116,1875,1527
117,2044,1527
118,1090,1530
119,1095,1531
120,4006,4007
121,1729,1533
122,1438,1533
123,1081,1533
124,1913,1533
125,1535,1900
126,1541,1540
127,1015,1542
128,1533,1542
129,1018,1542
130,1016,1542
131,1126,1542
132,1527,1542
133,1533,1543
134,1123,1544
135,1124,1544
136,1457,1544
137,1466,1544
138,1629,1544
139,1295,1552
140,1034,1553
141,1438,1553
142,1558,1160
143,1546,1561
144,1543,1563
145,1015,1564
146,1564,1565
147,1461,1580
148,1461,1582
149,1577,1582
150,1019,1583
151,1580,1584
152,3300,3307
153,3307,3313
154,3300,3311
155,3311,3312
156,3204,3218
157,3300,3304
158,3306,3313
159,3304,3306
160,3211,3216
161,3206,4524
162,1303,3301
163,3301,1326
164,3300,3303
165,3303,3322
166,3300,3305
167,3305,3331
168,3308,3320
169,3300,3309
170,3310,3302
171,3312,3313
172,3315,3346
173,3315,3347
174,3300,3316
175,3316,3325
176,3300,3318
177,3633,3994
178,3320,3321
179,3321,1818
180,3322,3332
181,3331,3313
182,3332,3313
183,3325,3343
184,3346,3652
185,3347,3349
186,2846,1472
187,1577,1589
188,1582,1589
189,1606,1605
190,1617,1605
191,1615,1605
192,1165,3033
193,4588,3033
194,1609,1607
195,1608,1617
196,1616,1608
197,1607,1615
198,2095,2673
199,1016,1616
200,1615,1616
201,1016,1608
202,1016,1617
203,1654,1622
204,1498,1626
205,1622,1629
206,1633,1735
207,1766,1636
208,1410,1654
209,1461,1656
210,1228,1671
211,1680,1679
212,1438,1679
213,1164,1681
214,1527,1681
215,1618,1681
216,1680,1681
217,3999,4006
218,1395,1688
219,1679,1699
220,1545,1700
221,1552,1706
222,1707,1706
223,1666,1712
224,1295,1714
225,1714,1715
226,1003,1715
227,1722,1716
228,1717,1732
229,3683,1717
230,1732,6509
231,6509,1718
232,2527,1718
233,1719,1720
234,1718,1719
235,1715,1722
236,1720,1723
237,1721,1724
238,1173,3993
239,1715,1733
240,1735,1734
241,1254,3564
242,1639,1735
243,1695,1735
244,1725,1735
245,1705,1735
246,1730,1735
247,1806,1735
248,1896,1735
249,1895,1735
250,1872,1735
251,1668,1735
252,1737,1254
253,1472,1739
254,1014,1744
255,1474,1757
256,1636,1757
257,1254,1758
258,1761,1895
259,1767,1762
260,1000,1763
261,1007,1764
262,1763,1767
263,1700,1768
264,1869,1768
265,1488,1771
266,1771,1772
267,1000,1775
268,1091,1775
269,1091,1777
270,1775,1777
271,2056,1781
272,1095,1784
273,1790,1792
274,1792,1784
275,1626,1788
276,3385,3646
277,1090,1790
278,1095,1792
279,1000,1790
280,1788,1796
281,1798,1797
282,1753,1798
283,1448,1800
284,3646,3608
285,1527,1527
286,1800,1802
287,1761,1807
288,1761,1806
289,1764,1808
290,1336,1809
291,1000,1810
292,1810,1811
293,1000,1812
294,1812,1813
295,1465,1816
296,1757,1818
297,1095,1820
298,1531,1820
299,1808,1832
300,1761,1791
301,1254,3562
302,1011,1844
303,1275,1844
304,1844,3376
305,1011,1845
306,1011,1846
307,1845,4374
308,1846,1847
309,1847,1848
310,1011,1848
311,1847,1849
312,1011,1849
313,1848,1850
314,1849,4362
315,1850,1851
316,1832,1857
317,1000,1863
318,1095,1863
319,1095,1864
320,1863,1864
321,1762,1872
322,1000,1874
323,1095,1874
324,1095,1875
325,1874,1875
326,1086,1878
327,1878,1879
328,1095,1879
329,1915,1880
330,1000,1883
331,1917,1884
332,1889,1890
333,1928,1890
334,1884,1891
335,1126,1893
336,3396,4469
337,1500,1761
338,1069,1900
339,1535,1530
340,1831,1900
341,1890,1900
342,2127,1900
343,1020,1905
344,1386,1905
345,1021,1905
346,1016,1905
347,1019,1905
348,1915,1907
349,1680,1911
350,1907,1911
351,1091,1912
352,1892,1912
353,1894,1912
354,1913,1912
355,1893,1913
356,1777,1915
357,1941,1915
358,1531,1917
359,1095,1917
360,1170,1922
361,1883,1923
362,1038,1926
363,1091,1926
364,1915,1926
365,1883,1930
366,1923,1930
367,1000,1934
368,1038,1934
369,1091,1934
370,1914,1946
371,1946,1947
372,1948,1949
373,1914,1948
374,1671,1952
375,1593,1952
376,1593,1954
377,1671,1954
378,1960,1960
379,1593,1960
380,1666,1960
381,1129,1961
382,1095,1961
383,2192,1961
384,2218,1961
385,1069,1961
386,1095,1967
387,1975,1967
388,1168,1970
389,1095,1973
390,1976,1973
391,1000,1975
392,1095,1975
393,1000,1976
394,1095,1976
395,1954,1986
396,1129,1988
397,1756,1989
398,1182,1989
399,1589,1990
400,1000,1991
401,1091,1991
402,1038,1991
403,1934,1991
404,1952,1997
405,2042,2001
406,1084,2001
407,1788,2004
408,1386,2006
409,1016,2006
410,1463,2009
411,1000,2014
412,1989,2016
413,1038,2018
414,1091,2018
415,1991,2018
416,1986,2019
417,1796,2022
418,1809,2023
419,2009,2025
420,1571,2025
421,2014,2027
422,6461,1720
423,1021,2029
424,2001,2035
425,2019,2035
426,2028,2035
427,1014,2035
428,1084,2035
429,1095,2036
430,3283,1527
431,1891,2036
432,2140,2036
433,2145,2036
434,1593,2042
435,2051,2052
436,2082,2056
437,2042,2063
438,2042,2064
439,1757,2068
440,2005,2069
441,1997,2073
442,2035,2073
443,1014,2073
444,3219,2076
445,2063,2074
446,3300,2064
447,2076,2074
448,2064,2076
449,5030,5027
450,2043,2081
451,2094,2082
452,2188,2082
453,2188,2094
454,1014,2095
455,2287,2095
456,2096,2190
457,1152,2124
458,3382,1158
459,2128,2127
460,2069,2128
461,1000,2138
462,2138,2140
463,1000,2143
464,1095,2143
465,1926,2145
466,2143,2146
467,1095,2146
468,1000,2147
469,1095,2147
470,2147,2148
471,1095,2148
472,2018,2165
473,2165,2179
474,1000,2183
475,2183,2184
476,1914,2188
477,1914,2189
478,2189,2096
479,1781,2190
480,1129,2192
481,2215,2218
482,1000,2232
483,1014,2232
484,1091,2232
485,1014,2233
486,1000,2233
487,1019,2233
488,1320,2245
489,2253,2245
490,2260,2245
491,2268,2245
492,2233,2249
493,2250,2252
494,2252,2253
495,2233,2266
496,1014,2266
497,2266,2268
498,1014,2268
499,2232,2284
500,2190,2287
501,1014,2287
502,1905,2299
503,1375,2340
504,2949,2340
505,2335,2340
506,1118,2340
507,2543,2340
508,2725,2340
509,1702,2340
510,1685,2340
511,3653,3313
512,3313,3604
513,3313,3382
514,3313,1254
515,3309,3604
516,3309,3385
517,3309,3382
518,3300,3367
519,3360,3604
520,3367,3604
521,3367,3385
522,3360,3385
523,3360,3382
524,3605,3608
525,3604,3605
526,3644,3643
527,3608,3644
528,3382,2022
529,3300,1743
530,3300,1161
531,3390,3379
532,2023,1157
533,1161,3378
534,1768,3384
535,2025,3384
536,3384,2023
537,3675,3987
538,3355,3623
539,3349,3623
540,3623,3655
541,3655,3671
542,3300,3383
543,3250,3698
544,2035,3230
545,3622,2455
546,3374,2455
547,3374,3649
548,3650,3375
549,3649,3650
550,3669,3346
551,3397,3389
552,3389,3345
553,3345,3375
554,3300,3324
555,3324,3607
556,3607,3602
557,4581,3700
558,3300,3388
559,3388,3615
560,2922,5027
561,3348,3375
562,3610,3346
563,3609,3610
564,3652,3348
565,1024,3399
566,3600,3365
567,3365,3392
568,1024,3616
569,3392,1818
570,3392,3641
571,3392,4391
572,3366,1845
573,1844,3366
574,3381,1845
575,3376,3381
576,1171,3308
577,1024,3308
