"ID","REC_TYPE","FNO","D_DATA","D_DIAM","D_LENGTH","D_WIDTH","D_THICK","D_HEIGHT","D_WEIGHT","D_AREA","D_VOLUME"
1,"SF",2447,"from X-ray",0,29,23,0,0,0,0,0
2,"BF",5161,"Primary",0,0,0,0,0,0,0,0
3,"BF",5164,"Primary",0,0,0,0,0,0,0,0
4,"BF",5168,"1999",0,0,0,0,0,0,0,0
5,"BF",5170,"Primary",0,0,0,0,0,0,0,0
6,"BF",6253,"Primary",0,0,0,0,0,0,0,0
7,"BF",6261,"Primary",0,0,0,0,0,0,0,0
8,"BF",6264,"Primary",0,0,0,0,0,0,0,0
9,"BF",6267,"Primary",0,0,0,0,0,0,0,0
10,"BF",6291,"Primary",0,0,0,0,0,0,0,0
11,"BF",6294,"Primary",0,0,0,0,0,0,0,0
12,"BF",6297,"Primary",0,0,0,0,0,0,0,0
13,"BF",6298,"1999",0,0,0,0,0,0,0,0
14,"SF",551,"Primary",46,0,0,0,0,0,0,0
15,"SF",528,"Primary",0,103,0,0,0,0,0,0
16,"SF",651,"Fragment 1",0,17,12,0,0,0,0,0
17,"SF",652,"Primary",18,0,0,0,0,1,0,0
18,"SF",674,,8,0,0,0,0,0,0,0
19,"SF",678,"Primary",17,0,0,0,0,2,0,0
20,"SF",683,,0,108,0,0,0,0,0,0
21,"SF",702,,0,62,41,0,0,0,0,0
22,"SF",1121,,0,205,15,0,0,0,0,0
23,"SF",2984,,0,31,6,0,0,0,0,0
24,"SF",2752,,7,0,0,0,0,0,0,0
25,"SF",784,"Primary",0,30,0,0,0,0,0,0
26,"BF",7231,"Primary",0,0,0,0,0,0,0,0
27,"BF",7234,"Primary",0,0,0,0,0,0,0,0
28,"BF",7235,"Primary",0,0,0,0,0,0,0,0
29,"BF",7238,"Primary",0,0,0,0,0,0,0,0
30,"BF",7371,"Primary",0,0,0,0,0,0,0,0
31,"BF",7373,"Primary",0,0,0,0,0,0,0,0
32,"BF",7374,"Primary",0,0,0,0,0,0,0,0
33,"BF",7375,"Primary",0,0,0,0,0,0,0,0
34,"BF",7376,"Primary",0,0,0,0,0,0,0,0
35,"BF",7378,"Primary",0,0,0,0,0,0,0,0
36,"BF",7401,"Primary",0,0,0,0,0,0,0,0
37,"BF",7404,"Primary",0,0,0,0,0,0,0,0
38,"BF",7408,"Primary",0,0,0,0,0,0,0,0
39,"BF",7421,"Primary",0,0,0,0,0,0,0,0
40,"BF",7424,"Primary",0,0,0,0,0,0,0,0
41,"BF",7425,"Primary",0,0,0,0,0,0,0,0
42,"BF",7431,"Primary",0,0,0,0,0,0,0,0
43,"BF",7433,"Primary",0,0,0,0,0,0,0,0
44,"BF",7434,"Primary",0,0,0,0,0,0,0,0
45,"BF",7435,"Primary",0,0,0,0,0,0,0,0
46,"BF",7436,"1998",0,0,0,0,0,5,0,0
47,"BF",7437,"Primary",0,0,0,0,0,0,0,0
48,"BF",8621,"Primary",0,0,0,0,0,0,0,0
49,"BF",8623,"Primary",0,0,0,0,0,0,0,0
