"REC_TYPE","FNO","TYPE","DETAILS"
"SF",2130,"D","<P>?nail, ?rolled strip.</P>"
"SF",2130,"C","<SPAN>X-ray no: CX670</SPAN>"
"SF",2136,"D","<p>Small cylinder bead of opaque blue glass, square section with pinched ends.</p><p>[N.Crummy 18/05/06]</p>"
"SF",2136,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"SF",2447,"D","<P><SPAN></SPAN>Fragment</P>"
"SF",2447,"C","<SPAN>X-ray no: CX660</SPAN>"
"bf",25491,"D","Roman including Samian 1 bag 2001"
"bf",25491,"D","Roman including Samian 2 bags 2003"
"bf",25494,"D","Nails 1 bag 2001"
"bf",25494,"D","Slag 1 bag, Nails 250g 2003"
"bf",25495,"D","Roman 1 bag 2001"
"bf",25495,"D","Roman 1 bag 2003"
"bf",25498,"D","Animal 1 bag 2001"
"bf",25498,"D","Animal including teeth. 1250g 2003"
"bf",25500,"D","Charcoal 1 bag 2001"
"bf",25500,"D","Charcoal 1 bag 2003"
"SF",2284,"D","Fragment of Millefiori glass from vessel with ribbed decoration (pillar moulded). Colours: black , white, olive, purple & faint blue marble effect. (See D. Allen. 1998 Fig 12)"
"SF",2289,"D","<P><SPAN></SPAN>?Iron strip with copper alloy binding held in place by 3 rivets</P>"
"SF",2289,"C","<SPAN>X-ray no: CX 668</SPAN>"
"SF",2613,"D","<p>Slightly bent shaft fragment, tip present. [sig:08/01/2003 KTOOTELL] </p><p>&nbsp;</p><p>Plain shaft, tip curved, from pin needle, etc.</p><p>[N.Crummy 18/05/06]</p>"
"SF",2613,"C","<SPAN>COLEM: C030260. Date in: 31-03-03. Date finished: 22-04-03. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"SF",2634,"D","Iron buckle tongue. [sig:09/01/2003 KTOOTELL]"
"SF",2953,"D","<p>Rectangular fragment of cu alloy. No obvious markings or form. [sig:16/07/2003 SWILLIAMS] </p><p>&nbsp;</p><p>Small fragment of strip</p><p>[N.Crummy 18/05/06]</p>"
"SF",2953,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"SF",2974,"D","Rim of Mortaria? with partial stamp   FECIT? - counterstamp - Ref: Tyers pg. 132."
"SF",2983,"D","<p>Sheet of lead, in a triangular shape, folded over at the corners. An off-cut. On plan 17.91 [sig:28/07/2003 SWILLIAMS] </p><p>&nbsp;</p><p>Lead sheet fragment.</p><p>[N.Crummy 18/05/06]</p>"
"SF",2983,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"SF",2984,"D","<p>Square section. Wide at the top, tapering out towards the bottom. Possible iron brooch fragment? On plan 16.139 [sig:28/07/2003 SWILLIAMS] </p><p>&nbsp;</p><p>Nail shank fragment</p><p>[N.Crummy 18/05/06]</p>"
"SF",2984,"C","<p>Deselected</p><p>[N.Crummy 18/05/06]</p>"
"SF",2963,"D","<p><span>'Claudius I' counterfeit.</span></p><p>[sig:24/11/2003 KTOOTELL] </p><p>&nbsp;</p><p>Claudius I, as, irregular but a big 'early' one, a bit worn (E.Besly 22.06.06)</p><p><span style="
"SF",2963,"C","<SPAN>COLEM: C040646. Date in: 03-08-04. Date finished: 17-08-04. Condition: Fair. Covered with thick amorphous corrosion and gritty soil. Roughened, dark surface beneath retaining worn but legible detail. Surface is very fragile and has sustained some small areas of loss, particularly to the edges, which has exposed pits of pale turquoise powdery corrosion (active). Obverse disrupted also by area of ingrained gritty corrosion that could not be removed completely. Treatment<SPAN>: Removed corrosion - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum. Rinsed - IMS. Dried air. Laquered - Incralac, 50% in toluene</SPAN> </SPAN>"
"BF",25674,"D","Nails 1 bag <477> 2001"
"BF",25675,"D","Roman 1 bag <477> 2001"
"BF",25680,"D","Charcoal 1 bag <477> 2001"
"BF",25711,"D","Roman 1 bag 2001"
"BF",25881,"D","Roman 1 bag 2001"
"BF",25884,"D","Nails 1 bag 2001"
"BF",25888,"D","Animal 1 bag 2001"
"BF",25891,"D","Roman 1 bag <487> 2001"
"BF",25894,"D","Nail 1 bag <487>, Other 1 bag <487> 2001"
"BF",25898,"D","Animal including teeth 1 bag <487> 2001"
"SF",2212,"D","Rounded piece of Samian gaming counter"
"BF",25941,"D","<p>Roman 1 bag &lt;494&gt; 2001 </p><p>Roman pottery 150g 2005<span class="
"BF",25944,"D","Nails 1 bag <494>, Other 1 bag <494> 2001"
"BF",25945,"D","1 bag <494> 2001"
"BF",25948,"D","<p>Animal 1 bag &lt;494&gt; 2001 </p><p>Animal bone 10g 2005<span class="
"BF",25950,"D","Charcoal 1 bag <494> 2001"
"SF",2220,"D","Worked flint"
"SF",2237,"D","<P><SPAN></SPAN>Fragment.</P>"
"SF",2237,"C","<SPAN>X-ray no: CX660.</SPAN>"
"SF",2261,"D","Spindlewhorl"
"BF",25961,"D","Roman 1 bag 2001"
"BF",25964,"D","Nails 1 bag, Other 1 bag 2001"
"BF",25981,"D","Roman 1 bag 2001"
"BF",25984,"D","Nails 1 bag 2001"
"BF",25991,"D","1 bag <498> 2001"
"BF",25993,"D","1 bag <498> 2001"
"BF",25994,"D","Other 1 bag <498> 2001"
"BF",25996,"D","1 bag 2001"
"BF",25998,"D","Animal including teeth 1 bag <498> 2001"
"BF",26000,"D","Chatcoal 1 bag <498> 2001"
"SF",2713,"D","<p>Half an ivory ring found in environmental sample 588. Possibly part of a necklace(?). [sig:10/01/2003 KTOOTELL] </p><p>&nbsp;</p><p>Curved bone strip, ?part of stud or cap.</p><p>[30/05/06 N.Crummy]</p>"
"SF",2713,"C","Deselected"
"SF",2928,"D","<p>8 fragments of an iron strap. Largest fragment is curved. Very corroded. On plan. [sig:16/07/2003 SWILLIAMS] </p><p>&nbsp;</p><p>Fragment of curved strip or collar.</p><p>[01/06/06 N.Crummy]</p>"
"SF",2928,"C","Deselected"
"BF",26781,"D","Roman including Samian. 1 bag 2003"
"BF",26783,"D","Scored CBM Tile, possibly Flue tile. 1 bag 2003"
"BF",26784,"D","Slag 1 bag, Nails 180g 2003"
"BF",26785,"D","Roman 1 bag 2003"
"BF",26788,"D","Animal bone 500g 2003"
"SA",588,"D","<SPAN>13 litres of soil processed in 2002. Exposed for 1 hour, contaminated with little wind-blown dust. Sample taken from black silty deposit.</SPAN>"
"BF",27011,"D","Roman including Samian 1 bag 2001"
"BF",27018,"D","Animal 1 bag 2001"
"SA",570,"D","<SPAN>11 litres of soil processed in 2002. Sample exposed for weeks, contaminated with wind-blown dust. Sample taken from the gravel-layer or floor&nbsp;inside southern aisle of house 1.</SPAN>"
"SF",2012,"D","Short fragment only, probably from nail.  Fairly soft and friable, most of metal leached out and with a characteristically hollow core; no longer magnetic. [11/04/2006 N.Crummy]"
"BF",27041,"D","Roman including Samian 1 bag 2001"
"BF",27044,"D","Nail 1 bag 2001"
"BF",27045,"D","Roman 1 bag 2001"
"BF",27048,"D","Animal 1 bag 2001"
"BF",27066,"D","Tesserae 1 bag 2001"
"BF",27068,"D","Animal 1 bag 2001"
"BF",27111,"D","Roman 1 bag 2001"
"BF",27118,"D","Animal 1 bag 2001"
"BF",27120,"D","Charcoal 1 bag 2001"
"BF",27131,"D","Roman 1 bag 2001"
"BF",27134,"D","Nails 1 bag 2001"
"BF",27136,"D","9x Mixed material tesserae, consisting Dolomite Cementstone x6 (21.026g), Red Burnt Rock Mudstone x2, Ceramic Fabric 2 x1, 2001<br /><span style="
"BF",27138,"D","Animal 1 bag 2001"
"SF",2040,"D","<p><span></span>Strip fragment, probably from a hinge or strap-fitting. [28/06/2006 N Crummy]<br /></p>"
"SF",2040,"C","<SPAN>X-ray no: CX659.</SPAN>"
"SF",2166,"D","<P><SPAN></SPAN>Goad</P>"
"SF",2166,"C","<SPAN>X-ray no: CX679</SPAN>"
"BF",27141,"D","Roman 1 bag <501> 2001"
"BF",27143,"D","1 bag <501> 2001"
"BF",27144,"D","Nails 1 bag <501>, Slag 1 bag <501>, Other 1 bag <501> 2001"
"BF",27148,"D","1 bag <501> 2001"
"BF",27150,"D","Burnt Clay (Hearth) 1 bag, Charcoal 1 bag <501> 2001"
"SF",2277,"D","Fragment of copper alloy sheet. Via flotation sample <501> Possible piece of bracelet?"
"SF",2316,"D","Globular fragment - flatter on one side, rounded on the other. Possible pin/stud head. Recovered via flotation from sample <501>   Small copper alloy pellet, either from metal-working debris, or debris from a burnt object. [11/04/2006 N.Crummy]"
"SF",2317,"D","More or less triangular fragment, possibly metal-working debris of some kind. [11/04/2006 N.Crummy]"
"SF",2317,"C","Deselected<br /><span style="
"SF",2829,"D","Small blue glass tessera."
"BF",27211,"D","Roman 1 bag 2001"
"BF",27211,"D","Roman including Samian. 1 bag 2003"
"SF",2958,"D","<p>Very corroded. Possible wine strainer. Thin sheet of cu alloy with small holes visible in some places. Only half visible. Rim may be present. On plan number 10.25. [sig:28/07/2003 SWILLIAMS] </p><p>&nbsp;</p><p>The strainer-plate (only) from a strainer bowl, found within the posthole, but now in many fragments as much of the metal has perished. Bowls with similar strainer-plates come from: A) the Welwyn Garden City rich burial of the late C1st BC (Stead 1967, 25), B) the Crownthorpe hoard (unpublished), C) the Stanway Doctor burial (Crummy et al, forthcoming), D) Alchester fortress ditch (E. Sauer, pers. comm), and E) a well at Blain, Loire-Atlantique (S. Corson, pers comm). B-E all date to c 40-55 AD. A peltate foot, like those on C) has also been found in the same Object (50046). Foot and plate may well be from a carinated bowl like B-E, and together with D from Alchester define a western limit to the form, which also occurs in pottery among the Trinovantes/Catuvellauni.<br /></p><p>[01/06/06 N.Crummy]</p>"
"SF",2958,"C","<p>COLEM: C060157. Date in: ---03-06. Date finished: 19-05-06. Condition: Embedded in soil block. Appears to have been folded as are two layers separated by soil, with evidence of crushing/crumpling at some edges. The majority is completely mineralised and consists of powdery pale green corrosion stain on the soil surface, with faint semi-circular imprint surviving in soil around the upper folded half, delineating the edge. Has more intact fragments at edges of lower section, which retain some traces of metal in their core. These have a roughened friable grey metallic surface, but are pitted with pale friable turquoise corrosion and are extremely fragile. Cracks and splits run between each perforation and they have no structural intregity; the sheet having disintegrated in the block. Various small fragments randomly in surrounding soil. Has a layer of dark compacted organic material against each fragment, and traces of this layer run, with some discontinuation, throughout the entire soil block.</p><p>Only some fragments were strong enough to remove and stabilise. Treatment: Removed from soil - small handtools. Degreased - acetone. Stablised - BTA, 3% in vacuum. Rinsed - IMS. Dried - air. Lacquered - Incralac, 50% in IMS.</p><p><span style="
"BF",27214,"D","Other, 1 bag; Nails 40g 2003"
"BF",27217,"D","Unworked piece of shelly oolite stone 2003"
"BF",27218,"D","Animal bone 10g 2003"
"SF",2484,"D","Bone disc nail cleaner, disc missing and one point missing; panel of lattice decoration at top of shank with changes from round section at top to flat at bottom.<br /><span style="
"SF",2484,"C","<SPAN>COLEM: C030244. Date in: 31-03-03. Date finished: 28-04-03. Condition: Surface obscured by compacted crust of powdery corrosion and soil. Roughened, mid-green patina beneath with localised areas of bulkier corrosion. These have caused losses and slight pitting, exposing a paler friable layer beneath. Some active corrosion.Treatment; Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
"SF",3230,"D","Small round black glass gaming counter. On plan 23.80"
"BF",27311,"D","Roman 1 bag <442> 2001"
"BF",27314,"D","Nail 1 bag, Other 1 bag <442> 2001"
"BF",27315,"D","Roman 1 bag 2001"
"BF",27320,"D","Charcoal 2 bags <442> 2001"
"SF",2080,"C","<SPAN>X-ray no: CX670.</SPAN>"
"SF",2080,"D","<p><span></span>Fragment, possibly from a strap-fitting. Not yet X-rayed. <br /></p><p>[28/06/2006 N Crummy]<br /></p>"
"BF",30325,"D","Roman <631> 1 bag 2002"
"SA",575,"D","<SPAN>Sample exposed for months. Sample taken from mortar slump into pit.</SPAN>"
"SF",2547,"D","Round head with indented centre, two edges have become folded inwards towards shaft. [sig:07/01/2003 KTOOTELL]<br /><span style="
"SF",2547,"C","<SPAN>COLEM: C030253. Date in:31-03-03. Date finished:22-04-03. Condition: Two edges of the head have become folded inwards towards the shaft. The whole has a layer of hardened soil and powdery corrosion overlying surface. This has the remains of a roughened brown patina, on top of a friable green core. Various areas of loss to the patina but does not appear to be actively corroding. Treatment: Removed corrosion/soil - small handtools. Degreased - acetone. Stabilised - BTA, 3% in IMS under vacuum.. Rinsed - IMS. Dried - air. Laquered - Incralac, 50% in toluene. </SPAN>"
