"ID","CAPTION","KEYWORDS"
1237,"Context 2496","CONTEXT, 2496"
1268,"Close up of a tesselated floor in room 2 of House 1.","C1125, TESSELATED, FLOOR, MOSAIC, TESSERAE, HOUSE 1, ROOM 2"
1269,"Eastern half of room 6 in House 1","ROOM 6, HOUSE 1, C1163, C1188, C1157, C1170"
1270,"Western half of room 6, House 1,","ROOM 6, HOUSE 1, WALL, C1157, C1150, C1156, VICTORIAN, C1006"
1271,"section 40 showing walls of House 1, 1151 and 1152","SECTION 40, C1151, C1152, WALL, HOUSE 1,"
1272,"section 39 showing walls 1151 and 1150 of House 1","SECTION 39, WALL, HOUSE 1, C1151, C1150"
1301,"South west end of House 1","HOUSE 1, C1150, VICTORIAN, WALL"
1302,"South west end of house 1","HOUSE 1, WALL, C1150, C1151, C1157, C1189, ROOM 6"
1330,"Hearth 1433","HEARTH, C1433"
1331,"Possible top level of furnace, 1447","C1447, C1448, HEARTH, FURNACE"
1341,"SE wall of room 3 of House 1","C1533, WALL, HOUSE 1, ROOM 3"
1346,"C1544","C1544, C1124, C1553, HOUSE 1, VICTORIAN, HEARTH, DESTRUCTION"
1480,"Post hole fill 3308","Post hole, fill, 3308, context"
1489,"Broken tile foundation for robbed out wall 1797 (House 1)","tile, foundation, robbed, wall, house"
1490,"Partially robbed out wall 1797 on top of broken tile foundation 1141 (House 1)","robbed, wall, tile, foundation, house"
1497,"Section of exterior wall 1165 of House 1","section, wall, house"
1498,"Section of exterior wall 1165 of House 1","section, wall, house"
1500,"Section of 1173, exterior wall of House 1 on southern edge","wall, section, house"
1502,"Section of 1173, exterior wall of House 1 on southern edge","section, wall, house"
1505,"Section of 1553 - SE wall of Rm 3, House 1","section, wall, room, house 1"
1509,"Wall 1743 of House 1","wall, house 1"
1512,"SE aisle wall of House 1. Facing NE","aisle, wall, house 1"
1519,"Linear feature in Rm 4, House 1- facing NE","wall, room 4, house 1"
1520,"Linear feature in Rm 4, House 1- facing NE","wall, room 4, house 1"
1522,"Section of linear feature in Rm 4, House 1- facing SW","section, wall, room 4, house 1"
1568,"Wall 3201 on the eastern side of Room 1, House 1","wall, room 1, house 1"
1581,"SF2377 in 3259 - an in situ collapsed ceramic vessel","small find, ceramic, levelling, house 1"
1585,"Possible crushed brick floor below 3259","brick, floor, house 1"
1586,"Wall 3284","wall"
1587,"Clay levelling deposit in Room 2, House 1","clay, surface, floor, room 2, house 1"
1590,"Wall 3297 and mortar floor 3700","wall, mortar, floor"
1618,"Wall 1553","wall"
1619,"Walls 1165 & 1553","wall"
1622,"Close up of broken tile foundation (1141)","tile foundation"
1630,"Wall 3297","wall"
1643,"Close up of hearth (3701)","hearth"
1661,"Hearth 3701","hearth"
1958,"Construction cuts [3667] & [3668] for wall 1141 (post-ex)","construction cut wall"
1961,"Complete pot 2549 in fill (3697) pre-ex","small find pot fill whole complete"
2081,"Construction cut [3980] looking north","CONSTRUCTION CUT"
2082,"Construction cut [3991] looking west","CONSTRUCTION CUT"
2083,"Construction cut [3993] looking west","CONSTRUCTION CUT"
