"ID","ITEM_ID","PHOTO_ID"
2,"F24026",5677
60,"C2146",1480
79,"C2683",1958
80,"C2682",1958
83,"C3089",2082
115,"C3266",2438
122,"C3266",2458
127,"C3332",2468
179,"C3266",2670
180,"C3266",2671
256,"C4870",3368
259,"C4870",3371
260,"C4870",3372
261,"C4870",3373
271,"C3266",3421
275,"C4771",3476
278,"C4780",3479
282,"C4771",3488
362,"C3268",3988
372,"C2056",4089
378,"C1241",4132
527,"C4750",5522
529,"C2056",5657
530,"C4224",5586
533,"C4789",5605
536,"C3266",5608
539,"C3266",5611
540,"C3266",5612
543,"C3266",5615
544,"C4453",5616
547,"C2056",5659
622,"F16573",2250
639,"F17881",2438
640,"F17881",2458
641,"F17882",2458
649,"F17750",2593
650,"F17750",2594
676,"F17882",2670
677,"F17882",2671
678,"F17881",2670
679,"F17881",2671
687,"F17945",2694
703,"F18743",3368
706,"F18743",3371
707,"F18743",3372
708,"F18743",3373
712,"F18772",3378
742,"F17957",3421
745,"F18357",3424
770,"F18978",3457
778,"F22730",3467
784,"F18922",3476
787,"F18894",3479
796,"F18967",3488
843,"F18927",3736
907,"F17729",3859
909,"F17743",3861
918,"F17999",3870
919,"F18007",3871
920,"F18007",3872
930,"F18791",3904
931,"F18791",3905
932,"F18850",3908
933,"F18850",3909
934,"F18999",3917
935,"F18999",3918
941,"F15982",3941
952,"F16493",3952
955,"F16505",3955
960,"F16555",3960
962,"F16600",3962
964,"F16605",3964
975,"F16787",3975
979,"F16793",3979
981,"F17772",3981
988,"F17865",3988
1004,"F2440",4005
1007,"F2250",4008
1047,"F15913",4049
1052,"F16039",4055
1086,"F17761",4089
1123,"F22801",4126
1126,"F2937",4130
1128,"F2755",4132
1191,"F22623",5597
1193,"F18527",5620
1197,"F2250",5654
1198,"F2250",5655
1199,"F16188",5659
