context_id,within_group_id
2035,50035
2035,50035
2035,50044
2036,50018
2036,50018
2042,50035
2042,50044
2043,50018
2043,50035
2043,50044
2051,50035
2051,50044
2051,50046
2052,50035
2052,50044
2052,50046
2056,50035
2056,50044
2056,50046
2057,50035
2057,50044
2057,50046
2062,50035
2064,50035
2064,50044
2068,50019
2068,50035
2068,50044
2069,50035
2073,50035
2073,50035
2073,50044
2074,50044
2074,50046
2076,50035
2076,50035
2076,50044
2081,50018
2081,50035
2081,50044
2082,50035
2082,50044
2082,50046
2083,50034
2083,50035
2094,50035
2094,50044
2094,50046
2095,50018
2095,50035
2095,50044
2096,50035
2096,50044
2096,50046
1015,50018
1015,50018
1015,50044
1016,50018
1018,50018
1018,50018
1018,50018
1018,50035
1018,50044
1021,50018
1024,50035
1047,50035
1047,50044
1047,50046
1067,50035
1068,50035
1125,50018
1126,50018
1129,50018
1129,50035
1129,50044
1138,50035
1140,50035
1140,50044
1140,50046
1141,50035
1141,50044
1141,50044
1141,50046
1142,50035
1142,50035
1150,156
1150,50019
1150,50035
1150,50044
1151,50035
1151,50044
1151,50046
1152,156
1152,50019
1154,50035
1154,50044
1154,50046
1157,156
1157,50019
1157,50019
1157,50035
1157,50044
1158,156
1158,50019
1158,50035
1158,50044
1160,156
1160,50019
1160,50035
1160,50044
1161,156
1161,50019
1161,50035
1161,50044
1162,156
1162,50019
1162,50035
1162,50044
1163,156
1163,50019
1163,50019
1163,50035
1163,50044
1164,50018
1164,50018
1164,50018
1164,50035
1164,50044
1165,50018
1165,50035
1165,50044
1168,50018
1168,50018
1168,50035
1168,50044
1173,50018
1173,50018
1173,50035
1173,50044
1174,50018
1174,50018
1174,50035
1174,50044
1183,50018
1183,50035
1183,50035
1183,50044
1184,50035
1184,50044
1184,50046
1187,50035
1187,50044
1187,50046
1188,50035
1188,50044
1188,50046
1223,50035
1237,50035
1240,50035
1241,50035
1241,50044
1241,50046
1242,50035
1243,50035
1243,50044
1243,50046
1254,50044
1258,50035
1264,50035
1264,50044
1277,50035
1277,50044
1288,50035
1296,50035
1302,50035
1302,50044
1302,50046
1351,50035
1358,50035
1358,50044
1358,50046
1362,50035
1393,50044
1393,50046
1395,50018
1396,50018
1397,50044
1397,50046
1410,50044
1410,50046
1433,50029
1433,50029
1433,50043
1447,50044
1447,50046
1448,50044
1448,50046
1457,50044
1457,50046
1461,50044
1461,50046
1465,50035
1466,50035
1466,50044
1466,50046
1472,50044
1474,50035
1474,50044
1474,50046
1476,50018
1476,50035
1476,50044
1477,50035
1486,50018
1486,50035
1486,50044
1488,50035
1488,50044
1488,50046
1498,50035
1498,50044
1498,50046
1517,50035
1517,50044
1517,50046
1518,50044
1518,50046
1524,50035
1524,50044
1524,50046
1525,50044
1525,50046
1526,50044
1526,50046
1527,50018
1527,50044
1528,50018
1528,50035
1528,50044
1529,50018
1529,50035
1529,50044
1530,50018
1530,50035
1530,50044
1531,50035
1531,50044
1531,50046
1533,50018
1533,50018
1533,50018
1533,50044
1535,50035
1535,50044
1535,50046
1540,50035
1541,50035
1542,50018
1542,50035
1542,50044
1543,50018
1543,50035
1543,50044
1544,50035
1544,50044
1544,50046
1545,50035
1545,50044
1545,50046
1546,50035
1546,50044
1546,50046
1552,50018
1552,50035
1552,50044
1553,50018
1553,50018
1553,50035
1553,50044
1561,50035
1561,50044
1561,50046
1563,50018
1563,50035
1563,50044
1564,50018
1564,50035
1564,50044
1565,50018
1565,50035
1565,50044
1580,50044
1580,50046
1582,50044
1582,50046
1583,50018
1583,50018
1584,50044
1584,50046
1589,50044
1589,50046
1605,50018
1605,50035
1605,50044
1606,50018
1607,50018
1608,50018
1608,50035
1608,50044
1609,50018
1615,50018
1615,50018
1616,50018
1616,50035
1616,50044
1617,50018
1617,50035
1617,50044
1622,50044
1622,50046
1626,50035
1626,50044
1626,50046
1629,50044
1629,50046
1636,50035
1640,50044
1654,50044
1654,50046
1656,50035
1656,50044
1656,50046
1664,50035
1664,50044
1664,50046
1671,50035
1671,50044
1679,50035
1679,50044
1679,50046
1681,50018
1681,50035
1687,50035
1688,50018
1699,50035
1699,50044
1699,50046
1700,50035
1700,50044
1700,50046
1703,50035
1706,50018
1706,50018
1706,50035
1706,50044
1712,50035
1714,50017
1715,50017
1716,50017
1716,50018
1717,50017
1717,50018
1717,50044
1718,50017
1718,50018
1718,50044
1719,50017
1719,50018
1720,50017
1720,50018
1721,50018
1721,50035
1723,50017
1723,50018
1723,50035
1732,50017
1732,50018
1732,50044
1735,50035
1742,50035
1742,50044
1742,50046
1743,50035
1743,50044
1743,50046
1744,50018
1744,50035
1744,50044
1744,50046
1745,50035
1745,50044
1745,50046
1746,156
1746,50019
1746,50044
1753,50035
1753,50044
1753,50046
1756,50035
1757,50035
1757,50044
1757,50046
1761,50035
1762,50035
1763,50035
1764,50035
1764,50044
1764,50046
1767,50035
1768,50035
1768,50035
1768,50044
1768,50046
1771,50035
1771,50044
1771,50046
1772,50035
1772,50044
1772,50046
1775,50035
1775,50044
1775,50046
1777,50035
1777,50044
1777,50046
1781,50035
1781,50044
1781,50046
1784,50035
1784,50044
1784,50046
1788,50035
1788,50044
1788,50046
1790,50044
1790,50046
1792,50035
1792,50044
1792,50046
1796,50035
1796,50044
1796,50046
1797,50035
1797,50044
1797,50046
1798,50035
1798,50044
1798,50046
1800,50044
1800,50046
1802,50044
1802,50046
1808,50035
1808,50044
1808,50046
1809,50035
1809,50035
1809,50044
1809,50046
1810,50035
1810,50044
1810,50046
1811,50035
1811,50044
1811,50046
1812,50035
1812,50044
1812,50046
1813,50035
1813,50044
1813,50046
1818,157
1818,50019
1818,50019
1818,50035
1818,50035
1818,50044
1820,50035
1820,50044
1820,50046
1832,50035
1832,50044
1832,50046
1844,50044
1845,50035
1845,50035
1845,50044
1846,50035
1846,50044
1847,50035
1847,50044
1848,50035
1849,50035
1850,50035
1851,50035
1857,50035
1857,50044
1857,50046
1863,50044
1863,50046
1864,50044
1864,50046
1869,50044
1869,50046
1874,50044
1874,50046
1875,50044
1875,50046
1878,50044
1878,50046
1879,50044
1879,50046
1880,50018
1880,50035
1880,50044
1883,50035
1884,50035
1884,50044
1884,50046
1890,50035
1891,50035
1891,50044
1891,50046
1892,50018
1892,50035
1892,50044
1893,50018
1894,50018
1894,50018
1900,50018
1900,50035
1900,50044
1905,50018
1907,50035
1907,50044
1907,50046
1911,50035
1911,50044
1911,50046
1912,50018
1912,50018
1913,50018
1914,50035
1914,50044
1914,50046
1915,50035
1915,50044
1915,50046
1917,50035
1917,50044
1917,50046
1920,50035
1922,50035
1922,50044
1922,50046
1923,50035
1926,50035
1926,50044
1926,50046
1930,50035
1934,50044
1934,50046
1946,50035
1946,50044
1946,50046
1947,50035
1947,50044
1947,50046
1948,50035
1948,50044
1948,50046
1949,50035
1949,50044
1949,50046
1952,50035
1952,50044
1954,50035
1954,50044
1960,50035
1960,50044
1961,50018
1961,50018
1967,50017
1970,50018
1970,50019
1970,50035
1970,50044
1973,50017
1973,50035
1975,50017
1976,50017
1976,50035
1986,50035
1986,50044
1988,50018
1988,50035
1989,50035
1991,50044
1991,50046
1995,50035
1995,50044
1995,50046
1156,50035
1156,50044
1156,50046
2001,50035
2001,50044
2014,50035
2018,50044
2018,50046
2022,156
2022,50019
2023,157
2023,50019
2025,50035
2025,50035
2025,50044
2025,50046
2027,50035
2029,50035
2004,156
2004,50019
2004,50035
2004,50044
2005,50035
2006,50035
2006,50044
2006,50046
2009,50035
2009,50035
2009,50044
2009,50046
2124,156
2124,50019
2124,50019
2124,50035
2124,50044
2125,156
2125,50019
2125,50019
2125,50035
2125,50044
2127,50035
2128,50035
2138,50035
2140,50035
2143,50035
2143,50044
2143,50046
2144,50035
2145,50035
2145,50044
2145,50046
2146,50035
2146,50044
2146,50046
2147,50035
2148,50035
2165,50044
2165,50046
2174,50035
2179,50044
2179,50046
2215,50035
2218,50035
2183,50035
2184,50035
2188,50035
2188,50044
2188,50046
2189,50035
2189,50044
2189,50046
2190,50035
2190,50044
2190,50046
2192,50018
2192,50035
2232,50035
2232,50044
2232,50046
2233,50044
2233,50046
2245,50035
2245,50044
2245,50046
2287,50035
2287,50044
2287,50046
2298,50035
2299,50018
2299,50034
2252,50035
2253,50035
2266,50044
2266,50046
2268,50044
2268,50046
2284,50035
2284,50044
2284,50046
1167,50018
1167,50035
1167,50044
1159,50035
1159,50044
1159,50046
2340,50044
2340,50046
2453,50046
2454,50035
2454,50044
2455,50035
2455,50035
2455,50044
2455,50046
2456,50035
2456,50044
2456,50046
2457,50035
2460,50046
2462,50035
2462,50044
2462,50046
2463,50035
2463,50044
2470,50018
2470,50035
2470,50044
2471,50035
2471,50044
2471,50046
2472,50035
2472,50044
2472,50046
2473,50035
2474,50035
2480,50035
2480,50044
2496,50018
2496,50035
2496,50044
2652,50035
2652,50044
2652,50046
2657,50035
2657,50044
2657,50046
2664,50035
2664,50044
2666,50018
2666,50035
2666,50044
2667,50035
2668,50018
2668,50035
2668,50044
2669,50035
2669,50044
2673,50018
2673,50018
2673,50035
2675,50018
2675,50035
2675,50044
2681,50018
2681,50018
2681,50035
2681,50044
2682,50018
2682,50035
2682,50044
2683,50035
2683,50044
2683,50046
2687,50035
2687,50044
2687,50046
2690,50035
2690,50044
2693,50035
2693,50044
2693,50046
2907,50035
2907,50044
2910,50035
2910,50044
2922,50035
2922,50044
2923,50035
2923,50044
2925,50044
3028,50037
3033,50017
3037,50017
3042,50037
3048,50035
3048,50044
3048,50046
3049,50044
3049,50046
3067,50017
3071,50017
3082,50017
3088,50017
3089,50017
3094,50017
3095,50018
3096,50018
3098,50017
3099,50017
3301,50035
3302,50044
3303,50044
3304,50035
3304,50044
3305,50044
3306,50035
3306,50044
3307,50035
3307,50044
3308,50019
3309,50019
3309,50019
3310,50044
3311,50035
3311,50044
3312,50035
3312,50044
