find_id,find_material
877,Iron
5161,POTTERY
5164,IRON
5168,Animal Bone
5170,NATURAL
6264,IRON
6401,POTTERY
6403,CERAMIC BUILDING MATERIAL
6404,IRON
6405,GLASS
6407,STONE
6408,Animal Bone
6410,CHARCOAL
7581,POTTERY
7584,IRON
7586,STONE
7587,STONE
7588,BONE
7771,POTTERY
7774,IRON
7775,GLASS
7778,BONE
7881,POTTERY
7883,CERAMIC BUILDING MATERIAL
7884,IRON
7885,GLASS
7887,STONE
7888,BONE
7890,CHARCOAL
6253,CERAMIC BUILDING MATERIAL
6261,POTTERY
7961,POTTERY
7963,CERAMIC BUILDING MATERIAL
7964,IRON
7965,GLASS
7966,STONE
6267,STONE
7967,STONE
7968,BONE
7970,SHELL
6291,POTTERY
6294,IRON
6297,STONE
6298,Animal Bone
551,Pottery
528,Iron
651,Copper Alloy
652,Copper Alloy
674,Iron
678,Copper Alloy
683,Bone
702,Lead
742,Copper Alloy
746,Copper Alloy
774,Copper Alloy
784,Iron
7231,POTTERY
7234,IRON
7235,GLASS
7238,BONE
7371,POTTERY
7373,CERAMIC BUILDING MATERIAL
7374,IRON
7375,GLASS
7376,STONE
7378,BONE
7401,POTTERY
7404,IRON
7408,BONE
7421,POTTERY
7424,IRON
7425,GLASS
7431,POTTERY
7433,CERAMIC BUILDING MATERIAL
7434,IRON
7435,GLASS
7436,STONE
7437,STONE
8951,POTTERY
8954,IRON
8958,Animal Bone
8621,POTTERY
8623,CERAMIC BUILDING MATERIAL
8624,IRON
8625,GLASS
8628,BONE
8971,POTTERY
8974,IRON
8975,GLASS
8977,STONE
8978,Animal Bone
9101,POTTERY
9103,CERAMIC BUILDING MATERIAL
9104,IRON
9105,GLASS
9107,STONE
8021,POTTERY
8024,IRON
830,Glass
8511,POTTERY
8513,CERAMIC BUILDING MATERIAL
8514,IRON
8515,GLASS
8518,BONE
8581,POTTERY
8585,GLASS
8588,Animal Bone
9571,POTTERY
9573,CBM
9574,IRON
9578,Animal Bone
9611,POTTERY
9614,IRON
9615,GLASS
903,Lead
904,Copper Alloy
789,Lead
798,Pottery
975,Copper Alloy
965,Pottery
966,Pottery
801,Copper Alloy
803,Copper Alloy
805,Copper Alloy Lead
806,Iron
807,Glass
810,Copper Alloy
814,Iron
838,Copper Alloy
854,Pottery
856,Pottery
880,Pottery
916,Pottery
930,Copper Alloy
945,Copper Alloy
948,Iron
951,Iron
962,Copper Alloy
963,Pottery
971,Copper Alloy
974,Pottery
979,Copper Alloy
983,Copper Alloy
1015,Iron
1078,Copper Alloy
1082,Stone
1110,Bone
1056,Iron
1061,Iron
1062,Shale
1063,Pottery
1069,Pottery
1118,Bone
1074,Natural
1077,Copper Alloy
1320,Pottery
16651,POTTERY
16654,IRON
16658,Animal Bone
1121,Iron
