find_id,find_type
877,Miscellaneous Object
5161,Vessel
5164,Fittings Nails
5168,Animal Bone
5170,Other Natural
6264,;NAILS;FASTENINGS;
6401,Household Vessel
6403,Buildings
6404,Fitting Nails
6405,Household Vessel
6407,;UNWORKED;
6408,Animal Bone
6410,;OTHER;
7581,;VESSEL;SAMIAN;
7584,;NAILS;FASTENINGS;FRAGMENTS;OTHER;
7586,;TESSERAE;
7587,;UNWORKED;
7588,;ANIMAL;
7771,Vessel Samian
7774,Nails Fastenings
7775,Vessel
7778,;ASSORTED;ANIMAL;
7881,;VESSEL;SAMIAN;
7883,;CERAMIC BUILDING MATERIAL;
7884,;NAILS;FASTENINGS;
7885,;VESSEL;
7887,;UNWORKED;
7888,;ASSORTED;ANIMAL;TEETH;
7890,;OTHER;
6253,Buildings
6261,Household Vessel
7961,;VESSEL;SAMIAN;
7963,;CERAMIC BUILDING MATERIAL;
7964,Fittings Nail
7965,;VESSEL;
7966,;TESSERAE;
6267,;UNWORKED;
7967,;UNWORKED;
7968,Assorted Animal Teeth
7970,Miscellaneous
6291,Household Vessel
6294,Fittings Nail
6297,;UNWORKED;
6298,Animal Bone
551,Samian Stamp
528,Miscellaneous Object
651,Miscellaneous Sheet Fragments 2
652,Coin Legible
674,Miscellaneous Ring/washer
678,Coin Legible
683,Textile Needle
702,Miscellaneous Sheet Fragment
742,Jewellery Armlet
746,Miscellaneous Strip
774,Jewellery Brooch
784,Miscellaneous Object
7231,;VESSEL;SAMIAN;
7234,;NAILS;FASTENINGS;FRAGMENTS;OTHER;
7235,;VESSEL;
7238,;ASSORTED;ANIMAL;
7371,;VESSEL;
7373,;CERAMIC BUILDING MATERIAL;
7374,;NAILS;FASTENINGS;FRAGMENTS;OTHER;
7375,;VESSEL;
7376,;TESSERAE;
7378,;ASSORTED;ANIMAL;
7401,;VESSEL;
7404,;NAILS;FASTENINGS;
7408,;ASSORTED;ANIMAL;
7421,;VESSEL;
7424,;NAILS;FASTENINGS;
7425,;VESSEL;
7431,Household Vessel
7433,Buildings
7434,Fittings Nails
7435,Household Vessel
7436,"Buildings, Tesserae"
7437,", unworked,"
8951,Household Vessel
8954,Fitting Nails
8958,Animal Bone
8621,;VESSEL;
8623,;CERAMIC BUILDING MATERIAL;
8624,;NAILS;FASTENINGS;
8625,;VESSEL;
8628,;ASSORTED;ANIMAL;TEETH;
8971,Household vessel
8974,metalworking
8975,Household Vessel
8977,;UNWORKED;
8978,Animal Bone
9101,Household Vessel
9103,Buildings
9104,metalworking
9105,Household Vessel
9107,;UNWORKED;
8021,Household Vessel
8024,Fittings Nails
830,Toilet Stirring Rod
8511,;VESSEL;SAMIAN;
8513,;CERAMIC BUILDING MATERIAL;
8514,;NAILS;FASTENINGS;
8515,;VESSEL;
8518,;ANIMAL;ASSORTED;TEETH;
8581,Household Vessel
8585,Household Vessel
8588,Animal Bone
9571,Household Vessel
9573,Buildings
9574,Fittings Nails
9578,Animal Bone
9611,Household Vessel
9614,Fittings Nails
9615,Household Vessel
903,Miscellaneous Fragment
904,Fittings Furniture Nail
789,Fitting Staple
798,Household Vessel
975,Jewellery Hairpin
965,Samian Stamp
966,Samian Stamp
801,Tools Awl
803,Jewellery Brooch
805,Fittings Boss
806,Tools Blade
807,Jewellery Bead
810,Jewellery Bow Brooch
814,Miscellaneous Fitting
838,Jewellery Armlet
854,Samian Stamp
856,Recreation Counter
880,Household Vessel
916,Household Vessel
930,Dress/miscellaneous Strap-end
945,Coin Illegible
948,Tools
951,Miscellaneous
962,Miscellaneous Strip
963,Household Vessel
971,Jewelley Armlet
974,Samian Stamp
979,Fitting Boss
983,Coin Legible
1015,Jewellery Finger-ring
1078,Miscellaneous Strip
1082,Miscellaneous
1110,Jewellery Hairpin
1056,Miscellaneous Object
1061,Miscellaneous Object
1062,Jewellery Armlet
1063,Samian Stamp
1069,Household Vessel
1118,Jewellery Hairpin
1074,Miscellaneous
1077,Jewellery Brooch
1320,Samian Stamp
16651,household vessel
16654,Fittings Nails
16658,Animal Bone
1121,Household Latch-lifter
16901,household vessel
16904,Fittings Nails
16907,;UNWORKED;
17321,household vessel
17235,;;
17236,;;
17238,;;
1138,Samian Stamp
1286,Jewellery Brooch
1142,Samian Stamp
1143,Recreation Tobacco Pipe
1158,Religion Figurine
1460,Fitting Terminal
1461,Miscellaneous Fragments
17324,Fittings Nails
17325,Household Vessel
17326,"Buildings, Tesserae"
17328,Animal Bone
17331,household vessel
17334,Fittings Nails
17337,;UNWORKED;
17981,;VESSEL;
17985,;VESSEL;
1204,Miscellaneous Shaft
1214,Samian Stamp
1476,Coin Legible
17664,Fittings Nails
12565,;VESSEL;
12567,;UNWORKED;
12568,;ANIMAL;ASSORTED;TEETH;
12570,Miscellaneous
12571,Household Vessel
12573,Buildings
12574,Fittings Nails
12576,"Buildings, Tesserae"
12577,", unworked,"
12578,Animal Bone
12580,;OTHER;
12611,;VESSEL;SAMIAN;
12613,;FLUE TILE;
12614,Nails Fastenings Slag Fragment
12615,;VESSEL;
12617,;UNWORKED;
12618,;ANIMAL;ASSORTED;
12620,;OTHER;
12641,Household Vessel
12644,Fittings Nails
12645,Household Vessel
12646,"Buildings, Tesserae"
12681,Household Vessel
12683,Buildings
12684,Fittings Nails
12687,;UNWORKED;
12688,Animal Bone
12690,;OTHER;
12711,Household Vessel
12713,Buildings
12714,Fittings Nails
12718,Animal Bone
12721,Household Vessel
12728,Animal Bone
12751,Household vessel
12753,Buildings
1231,Coin Legible
1232,Jewellery Brooch
1489,Miscellaneous Sheet
12531,Household vessel
12534,Fittings Nails
12561,;VESSEL;SAMIAN;
12563,;FLUE TILE;
12564,;NAILS;FASTENINGS;SLAG;FRAGMENT;
12755,Household Vessel
12758,Animal Bone
12760,;OTHER;
12881,household vessel
12883,Buildings
12884,Fittings Nails
12885,Household Vessel
12886,"Buildings, Tesserae"
12968,Animal Bone
13007,;UNWORKED;
13321,household vessel
13324,Fittings Nails
13327,;UNWORKED;
13328,Animal Bone
12887,;UNWORKED;
12888,Animal Bone
12890,;OTHER;
12921,household vessel
12924,Fittings Nails
12961,household vessel
12963,Buildings
12964,metalworking
12965,Household Vessel
13081,household vessel
13108,Animal Bone
1166,Religion Figurine
1175,Metal-working
1180,Recreation Counter
13831,;VESSEL;
13834,;NAILS;FASTENINGS;FASTENINGS;
14007,;UNWORKED;
14051,Vessel
14054,Fragments Nail
14058,Animal Bone
14071,household vessel
14074,Fittings Nails
13901,;VESSEL;
13934,Fittings Nails
13937,;UNWORKED;
14001,Household Vessel
14004,Fitting Nails
14141,household vessel
14144,Fittings Nails
14147,;UNWORKED;
14148,Animal Bone
14151,household vessel
14154,Fittings Nails
14158,Animal Bone
14160,Miscellaneous
14201,;VESSEL;SAMIAN;
14078,Animal Bone
14204,;NAILS;FASTENINGS;FASTENINGS;
14206,;TESSERAE;
14221,household vessel
14231,;VESSEL;SAMIAN;
14234,;NAILS;FASTENINGS;FASTENINGS;
14238,;ANIMAL;TEETH;
14261,household vessel
14263,Buildings
14264,Fittings Nails
14268,Animal Bone
1246,Slag
1247,Fitting Stud
14341,household vessel
14344,Fittings Nails
14347,;UNWORKED;
14348,Animal Bone
14481,household vessel
14521,;VESSEL;SAMIAN;
14524,;NAILS;FASTENINGS;FASTENINGS;
14526,;TESSERAE;
14541,;VESSEL;
14544,;NAILS;FASTENINGS;FASTENINGS;
14753,;FLUE TILE;
14758,Animal Bone
14768,Animal Bone
1250,Miscellaneous Sheet
1254,Fittings Hinge
1255,Jewellery Brooch
1257,Fitting Binding
1260,Recreation Counter
13441,Household Vessel
13444,Metal-working
13448,Animal Bone
13491,;VESSEL;
14861,;VESSEL;SAMIAN;
14864,;NAILS;FASTENINGS;FRAGMENTS;
14866,;TESSERAE;
14868,;ASSORTED;ANIMAL;TEETH;
14891,;VESSEL;SAMIAN;
14893,;FLUE TILE;
14894,;NAILS;FASTENINGS;FRAGMENTS;
14895,;VESSEL;
14898,;ASSORTED;ANIMAL;TEETH;
14900,Miscellaneous
14751,Household Vessel
15051,;VESSEL;SAMIAN;
15054,;NAILS;FASTENINGS;
15058,;ASSORTED;ANIMAL;
15068,Animal Bone
15091,household vessel
15093,Buildings
15094,Nails Fastenings
15096,"Buildings, Tesserae"
15291,;VESSEL;
15294,;FRAGMENTS;
15298,;ASSORTED;ANIMAL;TEETH;
15514,Fittings Nails
15518,Animal Bone
15518,Animal Bone
15519,Buildings plaster
15681,Household Vessel
15688,Animal Bone
15691,Vessel  Samian
15814,Fittings Nails
15817,;UNWORKED;
16381,;VESSEL;SAMIAN;
16384,;NAILS;FASTENINGS;
16388,;ASSORTED;ANIMAL;
16431,household vessel
13741,household vessel
15421,;VESSEL;
15424,;NAILS;FASTENINGS;FRAGMENTS;
15425,;VESSEL;
15426,;TESSERAE;
15428,;ASSORTED;ANIMAL;
15621,;VESSEL;SAMIAN;
15628,;ASSORTED;ANIMAL;
15641,;VESSEL;
15645,;VESSEL;
16434,Fittings Nails
16437,;UNWORKED;
16438,Animal Bone
10311,Household Vessel
11641,household Vessel
11643,Buildings
11644,Fittings Nails
11711,;VESSEL;SAMIAN;
11713,;TESSERAE;
11714,;NAILS;FASTENINGS;FRAGMENTS;
11718,;ASSORTED;ANIMAL;
11720,;OTHER;
9654,;FASTENINGS;
9658,;ASSORTED;
13648,Animal Bone
11791,household vessel
11794,Fittings Nails
11798,Animal Bone
11871,;VESSEL;SAMIAN;
11874,;NAILS;FASTENINGS;SLAG;
11877,;UNWORKED;
11878,;;
11188,;;
11888,Animal Bone
11881,Household Vessel
9721,Vessel
9724,;FASTENINGS;
9725,;VESSEL;
9728,;ASSORTED;
9741,Household vessel
9743,Buildings
9744,Fittings Nails
9745,Household Vessel
9761,Household Vessel
9764,Fitting Nails
9765,Household Vessel
9767,;UNWORKED;
9768,Animal Bone
9771,;VESSEL;
9774,;FASTENINGS;SLAG;
9881,Household Vessel
9883,Buildings
9884,metalworking
9885,Household Vessel
9981,Household Vessel
9983,Buildings
9984,Fittings Nails
9987,;UNWORKED;
9988,Animal Bone
10171,Household Vessel
10175,Household Vessel
10451,Household Vessel
10457,;UNWORKED;
10458,Animal Bone
10531,Household Vessel
10538,Animal Bone
10540,;OTHER;
10801,Household VEssel
10821,Household Vessel
10824,Fittings Nails
10825,Household Vessel
11221,Household Vessel
11224,Fittings Nails
11228,Animal Bone
11361,;VESSEL;
11364,;FASTENINGS;OTHER;
11541,Household Vessel
11548,Animal Bone
1711,Toilet Nail-cleaner
1805,Textile Spindlewhorl
1830,Jewellery Brooch
1860,Miscellaneous Object
21521,household vessel
21524,Fittings Nails
21526,Buildings
21528,Animal Bone
21571,household vessel
21574,Fittings Nails
21578,Animal Bone
21641,;SAMIAN;
21645,;FRAGMENT;
21648,;ANIMAL;TEETH;
21674,;NAILS;FASTENINGS;
21677,;ANIMAL;
21733,Building
21751,Household Vessel
21754,Fitting Nails
21758,Animal Bone
21834,metalworking
21871,household vessel
21874,Fittings Nails
21908,;ANIMAL;
24078,;ANIMAL;
24231,Household Vessel
24232,Discarded CBM
24238,Animal Bone
24251,;SAMIAN;
24254,;NAILS;FASTENINGS;OTHER;
24258,Animal
25281,Household Vessel
25284,Nails
25288,Animal Bone
18401,household vessel
18404,Fittings Nails
18408,Animal Bone
19551,household vessel
19554,Fittings Nails
19555,Household Vessel
19558,Animal Bone
19561,household vessel
19564,Fittings Nails
19565,Household Vessel
19566,"Buildings, Tesserae"
19568,Animal Bone
19608,;ANIMAL;
19701,Household Vessel
19703,Building
19708,Animal Bone
19710,;CHARCOAL;
19711,household vessel
19714,Fittings Nails
19715,Household Vessel
19718,Animal Bone
19720,;CHARCOAL;
12061,Household Vessel
13111,household vessel
15741,household vessel
15744,Fittings Nails
17841,household vessel
17846,"Buildings, Tesserae"
17848,Animal Bone
17871,household vessel
17872,Buildings
17873,Buildings
17876,Buildings
17878,Animal Bone
17880,;CHARCOAL;
6402,Buildings
6412,Buildings
9882,Buildings
12572,Buildings
12642,Buildings
12682,Buildings
12712,Buildings
12722,Buildings
12752,Buildings
12882,Buildings
12962,Buildings
13002,Buildings
13092,Buildings
13642,Buildings
13692,Buildings
13932,Building
14002,Building
14052,Building
14072,Buildings
14152,Buildings
14222,Buildings
14262,Buildings
14342,Buildings
14462,Buildings
14482,Buildings
15092,Buildings
15182,Buildings
15742,Buildings
16652,Buildings
16902,Buildings
17322,Buildings
17332,Buildings
17662,Buildings
11562,Buildings
32050,Miscellaneous
5151,Household Vessel
5158,Animal Bone
5181,Household Vessel
6411,Household Vessel
6413,Buildings
6501,Household Vessel
6508,Animal Bone
6511,Household Vessel
6514,Fittings Nails
6521,Household Vessel
6528,Animal Bone
6651,Household Vessel
6681,Houeshold Vessel
6683,Buildings Tessera
10331,Household Vessel
10441,Household Vessel
10443,Buildings
10444,Fittings Nails
10445,Household Vessel
10446,"Buildings, Tesserae"
10448,Animal Bone
10450,Charcoal
11223,Buildings
11404,Nail
12976,"Buildings, tesserae"
13181,Household Vessel
13183,Pawprint
13184,Fitting Nails
13188,Animal Bone
13443,Buildings Tessera
13445,Household Vessel
13446,Buildings Tessera
13450,Miscellaneous
13451,Household Vessel
13454,Fittings Nail
13455,Household Vessel
13456,Tesserae
13458,Animal Bone
14053,Building
14121,Household Vessel
14123,Inclusions
14124,Fittings Nails
14126,"Building, Tesserae"
14128,Animal Bone
14129,Slag
14611,Household Vessel
14613,Buildings
14614,Fitting Nails
14615,Household Vessel
14618,Animal Bone
15014,Nails
15095,Household Vessel
15097,Unworked
15098,Animal Bone
15231,Household Vessel
15234,Fittings Nail
15251,household vessel
15256,"Buildings, Tesserae"
15361,Household Vessel
15364,Fittings Nails
15367,Unworked Sandstone
15368,Animal Bone
15369,Building
15694,Nails  Other
15745,Household Vessel
15748,Animal Bone
25331,Household Vessel
25334,Fittings Nails
25481,household vessel
25484,Fittings Nails
25485,Household Vessel
25488,Animal Bone
25491,Household Vessel
25494,Metal-working
25495,Household Vessel
25498,Animal Bone
25500,Miscellaneous
25674,Nails
25884,Nails
25888,Animal Bone
25894,Nail Other
25898,Animal Bone
25941,Household Vessel
25944,Nails Other
25948,Animal Bone
25961,Household Vessel
25964,Fitting Nails
25984,Nails
25994,Other
25998,Animal Bone
27011,Household Vessel
27018,Animal Bone
27041,Samian
27044,Nail
27066,Worked Tesserae
27111,household vessel
27118,Animal Bone
27131,household vessel
27134,Fittings Nails
27136,"Buildings, Tesserae"
27138,Animal Bone
27141,Household Vessel
27143,Building
27144,Fittings Nail
27148,Animal Bone
27150,Charcoal Clay Hearth Burnt
27211,Household Vessel
27311,household vessel
27314,Fittings Nails
27315,Household Vessel
27421,Household Vessel
27461,Household Vessel
27471,Household Vessel
27473,Building
27474,Fitting Nails
27475,Household Vessel
27478,Animal Bone
27484,Other
27488,Animal Bone
27521,household vessel
27523,Buildings
27524,Fittings Nails
27525,Household Vessel
27528,Animal Bone
27529,Fragments Copper
27591,household vessel
27593,Buildings
27594,metalworking
27595,Household Vessel
27598,Animal Bone
27661,household vessel
27663,buildings
27664,Fittings Nails
27671,Household Vessel
27674,Fitting Nails
27683,Buildings
27684,miscellaneous
27686,"Buildings, Tesserae"
27744,Nail
27751,household vessel
27753,Buildings
27756,"Buildings, Tesserae"
27758,Animal Bone
27759,Buildings
27771,Samian
27778,Animal Bone
27781,household vessel
27788,Animal Bone
27811,Household Vessel
27813,Building
27814,Fitting Nails
27815,Household Vessel
27871,household vessel
27874,Fittings Nails
27875,Household Vessel
27878,Animal Bone
27881,Household Vessel
27883,Building
27884,Nails
27886,"Building, Tesserae"
27891,household vessel
27898,Animal Bone
27904,Nails
27931,Samian
27933,Tesserae
27941,household vessel
27944,Fittings Nails
27951,Household Vessel
27953,Building
27954,Nails Other
27955,Household Vessel
27958,Animal Bone
27991,Household Vessel
28011,Samian
28014,Nails
28033,Pawprint
28034,Nails
28037,Unworked Sandstone
28041,Samian
28044,Nail
28046,Worked Quern
28071,Samian
28081,Samian
28084,Nails Other
28114,Nails
28123,Coating
28131,Household Vessel
28134,Metal-working
28137,Unworked
28138,Animal Bone
28161,Samian
28164,Nails Slag
28166,Worked Greensand
28171,Samian
28174,Nails
28181,Samian
28204,Other
28224,Nails
28241,household vessel
28243,Buildings
28244,Fittings Nails
28245,Household Vessel
28246,"Buildings, Tesserae"
28248,Animal Bone
28254,Slag
28261,Household Vessel
28281,Household Vessel
28284,Nails
28288,Animal Bone
28291,Household Vessel
28298,Animal Bone
28301,Household Vessel
28304,Metalworking
28305,Household Vessel
28308,Animal Bone
28431,Samian
28434,Nails
28461,household vessel
28464,Fittings Nails
28466,"Buildings, Tesserae"
28468,Animal Bone
28471,Samian
28476,Worked Tesserae
28501,household vessel
28504,Fittings Nails
28511,household vessel
28514,Fittings Nails
28515,Household Vessel
28518,Animal Bone
28531,Samian
28534,Nails
28601,Samian
28604,Nails
28651,Samian
28653,Cut-out
28654,Nails Slag
28657,Unworked Lava
28658,Teeth
28671,Samian
28674,Nails Slag
28676,"Buildings, Tesserae"
28678,Animal Bone
28691,Household Vessel
28694,Metal-working
28721,household vessel
28724,fittings Nails
28741,household vessel
28743,Buildings
28744,Fittings Nails
28745,Household Vessel
28746,"Buildings, Tesserae"
28747,Unworked
28748,Animal Bone
28751,Household Vessel
28828,Animal Bone
28841,Household Vessel
28844,Nails Other
28891,household vessel
28911,Household Vessel
28913,Buildings
28914,Fittings Nails
28916,"Buildings, Tesserae"
28921,Household Vessel
28923,Miscellaneous
28924,Metal-working
28928,Animal Bone
28951,Household Vessel
28953,Buildings
28954,Fittings Nails
28958,Animal Bone
28961,Household Vessel
28964,Metal-working
28966,"Buildings, Tessera"
28968,Animal Bone
28981,Household Vessel
28988,Animal Bone
30151,Household Vessel
30154,Fittings Nail
30158,Animal Bone
30160,Miscellaneous
30211,Household Vessel
30214,Fittings Nail
30215,Household
30218,Animal Bone
30331,Household Vessel
30333,Buildings
30334,Metal-working
30335,Household
30338,Animal Bone
30340,Miscellaneous
31011,Household Vessel
31014,Metalworking
31018,Animal Bone
31020,Miscellaneous
31031,Household Vessel
31034,Fittings Nail
31035,Household Vessel
31037,unworked stone
31038,Animal Bone
31051,Household Vessel
31081,Household Vessel
31091,Household Vessel
31098,Animal Bone
31111,Household Vessel
31113,Buildings
31121,Household Vessel
31128,Animal Bone
31130,Miscellaneous
31131,Household Vessel
31134,Fittings Nail
31138,Animal Bone
31191,Household Vessel
31193,Miscellaneous
31194,Fittings Nail
31198,Animal Bone
31200,Other natural
31221,Household Vessel
31224,Fittings Nail
31226,Buildings Tessera
31231,Household Vessel
31234,Fittings Nail
31331,Household Vessel
31334,Metal-working
31336,Buildings Tessera
31338,Miscellaneous
31341,Household Vessel
31344,Fittings Nail
31345,Household
31346,Buildings Tessera
31350,Miscellaneous
31479,Miscellaneous Fragment
31491,Household Vessel
31541,Household Vessel
31544,Fittings Nail
31548,Miscellaneous
2012,Fitting Shank
2013,Household Vessel
2022,Samian Stamp
2025,Household Quernstone
2039,Household Vessel
2040,Miscellaneous Strip
2042,Household Quernstone
2079,Toilet Set
2080,Miscellaneous  Strip
2123,Samian Stamp
2130,Miscellaneous Object
2136,Jewellery Bead
2155,Jewellery Brooch
2166,Agricultural Goad
2169,Recreation Counter
2170,Miscellaneous Object
2173,Bone-working
2179,Miscellaneous Object
2190,Household Vessel
2193,Recreation Counter
2194,Samian Stamp
2197,Metal-working Coin Miscasting
2198,Miscellaneous Chain
2202,Samian Stamp
2204,Household
2205,Household Box Fitting
2206,Samian Stamp
2207,Samian Stamp
2211,Household Flesh-hook
2212,Recreation Counter
2213,Miscellaneous Fragment
2214,Miscellaneous Strip
2217,Miscellaneous Shank?
2219,Household Vessel
2220,Miscellaneous Object
2225,Jewellery Brooch
2228,Miscellaneous Setting?
2233,Miscellaneous Sphere
2235,Metal-working Bar
2237,Miscellaneous Sheet
2249,Jewellery Earring
2257,Jewellery Earring
2258,Miscellaneous Object
2261,Textile Spindlewhorl
2263,Miscellaneous Nail
2264,Miscellaneous Sheet
2269,Jewellery Bow Brooch
2271,Samian Stamp
2277,Miscellaneous Sheet
2284,Household Vessel
2289,Fitting Binding
2304,Fitting Nail
2313,Recreation Counter
2315,Dress accessory Strap-tag
2316,Miscellaneous Fragment
2317,Miscellaneous Fragment
2319,Household Vessel
2324,Miscellaneous Fragment
2325,Miscellaneous Object
2331,Miscellaneous Sheet Fragments
2332,Miscellaneous Object
2343,Tools Knife
2344,Fittings Stud
2348,Recreation Counter
2353,Miscellaneous Fragments
2355,Dress Belt-plate
2368,Fitting Nail
2371,Buildings
2377,Household Vessel
2378,Metal-working Debris
2380,Miscellaneous Fragment
2382,Fitting Nail
2389,Miscellaneous Sheet Fragment
2391,Textile Needle
2393,Metal-working Debris
2402,Miscellaneous Fragment
2421,Household Candlestick
2422,Toilet Tweezers
2426,Fittings Stud
2437,Textile Spindlewhorl
2438,Miscellaneous Strip
2447,Miscellaneous Strip
2452,Fitting Nail
2453,Miscellaneous Strip
2454,Fitting Pin/Peg
2455,Miscellaneous Fragment
2466,Buildings Wall Plaster
2486,Jewellery Brooch Fragment
2501,Jewellery Brooch Fragment
2487,Jewellery Hairpin Fragment
2484,Toilet Nail-Cleaner
2508,Transport Hipposandal
2477,Textile Needle
2490,Metal-working Tools
2535,Jewellery Finger-ring
2547,Fittings Stud
2548,Miscellaneous Disc
2549,Household Vessel
2552,Miscellaneous Fragment
2553,Miscellaneous Object
2554,Miscellaneous Sheet
2556,Samian Stamp
2560,Tools Drill
2563,Miscellaneous Sheet
2568,Fittings
2573,Miscellaneous Fragment
2574,Miscellaneous Fragment
2575,Miscellaneous Fragment
2576,Toilet Spoon
2579,Fittings Key
2587,Samian Stamp
2589,Jewellery Brooch
2595,Recreation Counter
2598,Recreation Counter
2613,Miscellaneous Shaft
2614,Miscellaneous Fragment
2615,Coin Legible
2617,Recreation Counter
2634,Dress Buckle
2635,Jewellery Bead
2639,Jewellery Brooch
2642,Jewellery Hairpin
2650,Miscellaneous Ring
2655,Fitting Strap-fitting
2658,Household Vessel
2659,Fitting Key
2660,Fittings Wall-hook
2686,Samian Stamp
2689,Miscellaneous Fragment
2691,Samian Stamp
2692,Miscellaneous Strip
2713,Miscellaneous Fitting
2721,Miscellaneous Sheet
2727,Fitting  Fragment
2740,Coin Legible
2745,Jewellery Ring Fragment
2747,Fitting Fragment
2752,Jewellery Brooch?
2754,Recreation Counter
2756,Jewellery Brooch
2760,Jewellery Brooch Fragment
2763,Miscellaneous Fragments
2766,Dress Hobnails
2767,Household Spoon
2772,Fitting Tack
2773,Samian Stamp
2776,Househol Handle / Fitting
2783,?Metal-working Fragment
2785,Miscellaneous Ring
2786,Jewellery Brooch
2793,Toilet Nail-cleaner
2795,Miscellaneous Fitting
2796,Jewellery Bead
2801,Transport Hipposandal
2805,Miscellaneous Shaft
2806,Fittings Cleat
2815,Dress Accessory Buckle Fragment
2824,Fitting Boss
2825,Samian Stamp
2828,Fitting Binding
2829,Buildings Tessera
2831,Writing Stylus
2832,Miscellaneous Object
2846,Coin Illegible
2856,Dress Accessory Fragment
2859,Miscellaneous Disc
2860,Jewellery Hairpin
2866,Miscellaneous Shaft Fragment
2877,Jewellery Brooch
2882,Miscellaneous Ring
2883,Samian Stamp
827,Miscellaneous Sheet Fragment
30321,Household Vessel
30323,Miscellaneous
30324,Metal-working
30325,Household
30326,Buildings Tessera
30328,Animal Bone
30329,Buildings
30330,Miscellaneous
30941,Household Vessel
30944,Fittings Nail
30951,Household Vessel
30953,Buildings Tessera
30594,Fittings Nail
30955,Household
30956,"Buildings, Tessera"
30958,Animal Bone
30971,Household Vessel
30973,Buildings Tessera
30974,Metal-working
30975,HOUSEHOLD
30976,Buildings Tessera
30978,Animal Bone
30980,Miscellaneous
31241,HOUSEHOLD VESSEL
31243,Buildings
31244,Fittings Nail
31333,Miscellaneous
31340,Miscellaneous
31368,Animal Bone
31371,Household Vessel
31391,Household Vessel
31394,Fittings Nail
31398,Animal Bone
31493,Buildings
31531,Household Vessel
31533,Buildings
31534,FITTINGS NAIL
31538,Miscellaneous
31540,Miscellaneous
31551,Household Vessel
31554,Miscellaneous
31591,Household Vessel
31594,Fittings Nail
31641,Household Vessel
31644,Fittings Nail
31645,Household
31647,Miscellaneous
31648,Animal Bone
31691,Household Vessel
31694,Fittings Nail
31695,Household Vessel
31698,Animal Bone
31741,Household Vessel
