sample_id,sample_note
1026,<P><SPAN>Sample taken to help understand the relationship of clays and mortar which form the construction of a suspected wall. 5411 is the context number for the clay strip in the centre of the construction. The deposits included in this sample from west to east (as in the field) are as follows: 6473; 6451; 5411; 6452; 6458; 6459.</SPAN></P>
1027,<SPAN>Sample taken to help understand the relationship of clays and mortar which form the construction of a suspected wall. 5411 is the context number of the clay strip in the centre. The deposits included in this sample going from west to east (as in the field) are as follows: 6451; 5411; 6452; 6458; 6459; 6474.</SPAN>
1035,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the round structure at the SW end of the House 1 site.</SPAN>
1036,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the round structure at the SW end of House 1 site.</SPAN>
1037,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the round structure at the SW end of House 1 site.</SPAN>
1038,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the round structure at the SW end of House 1 site.</SPAN>
1039,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the round structure at the SW end of House 1 site.</SPAN>
1040,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the round structure at the SW end of House 1 site.</SPAN>
1041,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the round structure at the SW end of House 1 site.</SPAN>
1042,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the round structure at the SW end of House 1 site.</SPAN>
1053,<SPAN>Sample taken for XRF analysis to look for metallurgy in the round structure.</SPAN>
1057,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1058,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1094,<SPAN>Bulk sample of deposit found in micromorphology sample 1027.</SPAN>
1098,<SPAN>Bulk sample of deposit found in micromorphology samples 1026 &amp; 1027.</SPAN>
1100,<SPAN>Bulk sample of deposit found in micromprphology sample 1026.</SPAN>
1109,<SPAN>Simon Hodgekiss undergraduate dissertation. Also includes deposits 6170 and 4522.</SPAN>
1110,<SPAN>Simon Hodgekiss undergraduate dissertation. Also includes deposit 4530.</SPAN>
1114,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1115,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1116,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1117,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1118,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1119,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1127,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1128,<SPAN>Sample taken for XRF analysis to look for metallurgy in the floors of the timber building on the site of House 1.</SPAN>
1134,<SPAN>Simon Hodgekiss undergraduate dissertation. Core for bulk density.</SPAN>
1135,<SPAN>Simon Hodgekiss undergraduate dissertation. Core for bulk density.</SPAN>
1140,<P><SPAN>Simon Hodgekiss undergraduate dissertation. Core for bulk density.</SPAN></P>
1141,<P><SPAN>Simon Hodgekiss dissertation. Core for bulk density.</SPAN></P>
1152,<SPAN>Taken for XRF analysis of charcoal deposit to look for metallurgy.</SPAN>
1167,<P><SPAN>Taken to help&nbsp;understand the construction techniques and materials used in the building of a cob wall. This sample also includes deposits 6480 and 6481.</SPAN></P>
1174,<SPAN>Simon Hodgekiss undergraduate dissertation.</SPAN>
1177,<SPAN>Bulk sample of deposit found in micromorphology sample 1167.</SPAN>
1178,<SPAN>Bulk sample of deposit found in micromorphology samples 1168 and 1169.</SPAN>
1217,<P><SPAN>Sample taken for XRF analysis to look for metallurgy in the round structure. This deposit overlies floor 5585 and is an isolated patch of red burnung and charcoal.</SPAN></P>
