sample_id,within_context_id
20,1288
36,1362
49,1296
51,1351
56,1465
57,1362
84,1288
779,4772
783,3926
790,3700
808,3661
820,5313
821,4449
823,5506
825,4636
826,5467
829,3297
831,3284
830,2083
836,5335
838,5520
840,5520
843,5551
844,5427
846,5492
848,5427
850,5519
655,4552
656,4111
657,3365
658,3365
659,3700
666,4216
667,4216
669,1844
674,4196
675,4199
676,4200
677,4213
685,1150
703,1152
704,4152
712,4769
713,4770
714,4592
717,3948
720,1163
724,4778
735,4750
740,1157
745,4576
752,4594
756,4621
766,4170
767,4170
768,4170
769,4170
770,4170
771,4170
772,4778
773,4750
774,4213
570,3202
571,1544
572,3664
575,3236
579,3240
582,3276
588,3178
622,3994
623,3994
627,1151
631,3532
640,4010
641,3294
642,4085
646,4095
874,3961
875,3961
876,3925
877,3925
878,3925
879,3925
880,3925
881,3925
882,3925
883,3925
884,3925
885,3925
886,3684
887,3684
888,4847
889,4847
890,5464
891,5464
892,5471
894,5446
895,5446
897,5819
901,5467
905,5589
906,3925
907,5465
908,5465
909,6056
910,4554
911,4554
916,5499
917,5499
918,5771
919,5771
920,5447
921,5447
922,5778
923,5778
927,6056
928,6062
929,6062
933,5589
934,5846
935,5846
936,5768
937,5768
939,5786
940,5786
941,5786
946,5795
947,5795
948,5777
949,5777
952,6081
953,5870
959,5872
960,5872
961,5872
962,5872
963,5872
964,5872
965,5870
967,5870
969,5497
970,5497
992,5870
993,6453
994,6453
995,5872
998,5872
1025,6596
1026,5411
1027,5411
1035,5556
1036,5556
1037,5556
1038,5556
1039,5556
1040,5556
1041,5556
1042,5556
1053,5556
1057,6454
1058,6454
1094,6474
1098,5411
1100,6473
1109,3603
1110,3396
1114,3661
1115,3661
1116,6462
1117,6462
1118,6467
1119,6467
1127,4848
1128,4848
1134,3603
1135,3603
1140,3396
1141,3396
1144,6148
1146,6149
1152,6135
1167,5422
1174,3396
1177,6480
966,5870
1178,5422
1217,6574
1224,6593
1225,6593
1226,6590
1231,6488
1232,6488
1233,5585
1234,5585
1235,5585
1236,5585
1237,5585
1238,5585
1239,5585
1240,5585
1241,5585
1242,5585
1252,6596
1259,6497
1260,6497
1269,3260
1270,3260
1271,3263
1272,3263
1278,6618
1280,6474
1281,6474
1282,5889
1283,5889
1286,6495
1287,6495
1289,6496
1290,6496
1291,6028
1298,6637
1299,6637
1300,6637
1301,6637
1307,6637
1324,5880
1325,5880
1326,5880
1327,6519
1331,6645
1332,6623
1333,6520
1334,6515
1335,6515
1337,6520
1336,6520
